MP name,Party,Office,Staffing,Windup,Accommodation,Travel,Other,Total
Chris Stephens,Scottish National Party,4755.8,0.0,0.0,5350.72,1132.96,0.0,11239.48
Andrew Stephenson,Conservative,6796.86,3047.0,0.0,3607.27,1260.45,0.0,14711.58
Jo Stevens,Labour,6143.01,0.0,0.0,2235.83,469.35,0.0,8848.19
Jane Stevenson,Conservative,14433.45,3080.94,0.0,6933.32,1192.84,0.0,25640.55
John Stevenson,Conservative,7534.28,4247.0,0.0,0.0,3414.0,0.0,15195.28
Bob Stewart,Conservative,11094.26,0.0,0.0,0.0,0.0,0.0,11094.26
Iain Stewart,Conservative,7715.35,0.0,0.0,0.0,7459.9,0.0,15175.25
Jamie Stone,Liberal Democrat,10469.82,0.0,0.0,7165.08,1585.4,0.0,19220.3
Gary Streeter,Conservative,6733.78,0.0,0.0,3245.53,815.7,0.0,10795.01
Wes Streeting,Labour,9610.42,900.0,0.0,0.0,0.0,0.0,10510.42
Mel Stride,Conservative,4062.68,0.0,0.0,1059.96,0.0,0.0,5122.64
Graham Stringer,Labour,4599.03,0.0,0.0,0.0,5490.1,0.0,10089.13
Graham Stuart,Conservative,8955.25,0.0,0.0,6337.22,1359.3,0.0,16651.77
Julian Sturdy,Conservative,569.42,3047.0,0.0,0.0,3921.0,0.0,7537.42
Zarah Sultana,Labour,12086.51,-2800.0,0.0,8473.32,324.1,0.0,18083.93
Rishi Sunak,Conservative,0.0,3047.0,0.0,0.0,0.0,0.0,3047.0
James Sunderland,Conservative,10737.26,3049.0,0.0,0.0,1049.93,0.0,14836.19
Desmond Swayne,Conservative,6119.3,600.0,0.0,1706.32,1317.17,0.0,9742.79
Robert Syms,Conservative,6983.76,0.0,0.0,8000.0,795.6,0.0,15779.36
Mark Tami,Labour,9162.13,0.0,0.0,7492.36,2814.7,0.0,19469.19
Sam Tarry,Labour,8245.01,594.0,0.0,0.0,0.0,0.0,8839.01
Alison Thewliss,Scottish National Party,8337.12,0.0,0.0,7800.0,1618.9,0.0,17756.02
Derek Thomas,Conservative,4844.15,0.0,0.0,0.0,404.6,0.0,5248.75
Gareth Thomas,Labour,7519.28,0.0,0.0,0.0,0.0,0.0,7519.28
Nick Thomas-Symonds,Labour,8703.27,0.0,0.0,8813.17,1508.5,0.0,19024.94
Owen Thompson,Scottish National Party,13518.81,5550.0,0.0,9365.74,2461.7,0.0,30896.25
Richard Thomson,Scottish National Party,11633.31,0.0,0.0,7920.98,676.9,0.0,20231.19
Emily Thornberry,Labour,7086.13,0.0,0.0,0.0,0.0,0.0,7086.13
Maggie Throup,Conservative,1572.28,3047.0,0.0,6385.45,917.4,0.0,11922.13
Stephen Timms,Labour,6411.45,830.0,0.0,0.0,0.0,0.0,7241.45
Edward Timpson,Conservative,18373.78,0.0,0.0,0.0,1066.42,0.0,19440.2
Kelly Tolhurst,Conservative,5851.21,0.0,0.0,2275.0,853.87,0.0,8980.08
Justin Tomlinson,Conservative,13318.69,3047.0,0.0,5755.85,403.7,0.0,22525.24
Michael Tomlinson,Conservative,5635.56,0.0,0.0,9072.34,2586.97,0.0,17294.87
