Rank,District,"2021 Median Income",Representative
299,PA-12,61514,S. Lee
300,NJ-10,61465,D. Payne Jr.
301,TX-30,61427,J. Crockett
302,NM-1,61331,M. Stansbury
303,FL-26,61315,M. Diaz-Balart
304,FL-4,61311,A. Bean
305,OK-1,61030,K. Hern
306,IL-1,61003,J. Jackson
307,IN-2,60853,R. Yakym
308,PA-13,60754,J. Joyce
309,PA-16,60630,M. Kelly
310,IN-9,60586,E. Houchin
311,TX-11,60533,A. Pfluger
312,NE-3,60513,A. Smith
313,CA-1,60424,D. LaMalfa
314,TX-27,60411,M. Cloud
315,OH-10,60227,M. Turner
316,GA-1,60214,B. Carter
317,CA-37,60083,S. Kamlager-Dove
318,CO-3,59991,L. Boebert
319,KS-4,59974,R. Estes
320,TN-3,59794,C. Fleischmann
321,MI-2,59683,J. Moolenaar
322,VA-3,59672,R. Scott
323,OR-4,59512,V. Hoyle
324,VA-4,59458,J. McClellan
325,CA-13,59219,J. Duarte
326,TN-8,59218,D. Kustoff
327,MO-4,59197,M. Alford
328,NC-6,59118,K. Manning
329,KY-2,59005,B. Guthrie
330,KY-3,58965,M. McGarvey
331,IL-12,58961,M. Bost
332,NC-10,58845,P. McHenry
333,AZ-2,58671,E. Crane
334,KY-6,58668 ,A. Barr
335,TX-32,58647,C. Allred
336,NC-9,58473,R. Hudson
337,GU-At Large,58289,J. Moylan
338,PA-14,58075,G. Reschenthaler
339,PA-15,57945,G. Thompson
340,SC-5,57897,R. Norman
341,OH-9,57732,M. Kaptur
342,IN-7,57722,A. Carson
343,NV-1,57599,D. Titus
344,TX-17,57475,P. Sessions
345,TN-6,57373,J. Rose
346,KS-1,57171,T. Mann
347,OR-2,57026,C. Bentz
348,WV-2,57012,A. Mooney
349,NY-26,56989,B. Higgins
350,IN-8,56957,L. Bucshon
351,TX-13,56933,R. Jackson
352,NC-7,56858,D. Rouzer
353,OK-4,56822,T. Cole
354,CA-25,56541,R. Ruiz
355,OH-2,56397,B. Wenstrup
356,SC-3,56382,J. Duncan
357,FL-2,56301,N. Dunn
358,AZ-3,56271,R. Gallego
359,TX-28,56191,H. Cuellar
360,KS-2,56153,J. LaTurner
361,NY-14,56129,A. Ocasio-Cortez
362,AR-2,56091,F. Hill
363,MI-1,55941,J. Bergman
364,NC-3,55911,G. Murphy
365,FL-10,55908,M. Frost
366,NC-11,55831,C. Edwards
367,ME-2,55629,J. Golden
368,FL-12,55598,G. M. Bilirakis
369,FL-6,55586,M. Waltz
370,MD-7,55335,K. Mfume
371,NY-8,55121,H. Jeffries
372,IL-13,54986,N. Budzinski
373,MO-7,54711,E. Burlison
374,TX-1,54518,N. Moran
375,IL-2,54422,R. Kelly
376,PA-3,54392,D. Evans
377,TX-9,54330,A. Green
378,TX-20,54117,J. Castro
379,TX-19,54084,J. Arrington
380,GA-12,53832,R. Allen
381,LA-3,53747,C. Higgins
382,CA-21,53745,J. Costa
383,MI-8,53588,D. Kildee
384,TX-18,53533,S. Jackson Lee
385,MS-1,53298,T. Kelly
386,MO-8,52952,J. Smith
387,MS-4,52683,W. Ezell
388,CA-34,52491,J. Gomez
389,MS-3,52442,M. Guest
390,FL-18,52435,S. Franklin
391,OH-6,52326,B. Johnson
392,PA-2,52293,B. Boyle
393,AL-1,52278,J. Carl
394,TX-33,52202,M. Veasey
395,FL-3,52054,K. Cammack
396,KY-1,51974,J. Comer
397,MI-12,51973,R. Tlaib
398,WI-4,51865,G. Moore
399,FL-20,51795,S. Cherfilus-McCormic
400,MO-1,51770,C. Bush
401,FL-24,51688,F. Wilson
402,NC-5,51640,V. Foxx
403,GA-8,51525,A. Scott
404,NM-3,51404,T. Leger Fernandez
405,TX-16,51323,V. Escobar
406,OK-3,51174,F. Lucas
407,SC-7,50905,R. Fry
408,AZ-7,50668,R. Grijalva
409,AL-2,50597,B. Moore
410,AL-4,50227,R. Aderholt
411,VA-9,50037,M. Griffith
412,TX-15,50003,M. De La Cruz
413,NM-2,49905,G. Vasquez
414,IL-17,49788,E. Sorensen
415,AL-3,49465,M. Rogers
416,TN-1,49065,D. Harshbarger
417,CA-22,48917,D. Valadao
418,TX-29,48391,S. Garcia
419,TN-9,47518,S. Cohen
420,OK-2,47017,J. Brecheen
421,SC-6,47009,J. Clyburn
422,NC-1,46702,D. Davis
423,WV-1,46156,C. Miller
424,GA-2,45826,S. D. Bishop Jr.
425,NY-13,45683,A. Espaillat
426,AR-1,45517,R. Crawford
427,AR-4,45508,B. Westerman
428,OH-11,45480,S. Brown
429,LA-4,44998,M. Johnson
430,TX-34,44936,V. Gonzalez
431,LA-2,44363,T. Carter
432,MI-13,44238,S. Thanedar
433,LA-5,43382,J. Letlow
434,AL-7,41736,T. A. Sewell
435,VI-At Large,40408,S. Plaskett
436,NY-15,40319,R. Torres
437,MS-2,37933,B. G. Thompson
438,KY-5,37910,H. Rogers
439,MP-At Large,31362,G. Sablan
440,AS-At Large,28352,A. Coleman
441,PR-At Large,22237,J. González-Colón
