name,age,class,honorific,given_name,family_name,url
"Ford, Mr. H.",22.0,Engineering Crew,Mr,H.,Ford,/titanic-victim/h-ford.html
"Ford, Mr. Thomas",33.0,Engineering Crew,Mr,Thomas,Ford,/titanic-victim/thomas-ford.html
"Foster, Mr. Alfred Charles",37.0,Engineering Crew,Mr,Alfred Charles,Foster,/titanic-victim/alfred-charles-foster.html
"Fraser, Mr. J.",30.0,Engineering Crew,Mr,J.,Fraser,/titanic-victim/j-fraser.html
"Fraser, Mr. James",30.0,Engineering Crew,Mr,James,Fraser,/titanic-victim/james-fraser.html
"Fredericks, Mr. Walter Francis",21.0,Engineering Crew,Mr,Walter Francis,Fredericks,/titanic-survivor/w-fredericks.html
"Fryer, Mr. Albert Ernest",29.0,Engineering Crew,Mr,Albert Ernest,Fryer,/titanic-survivor/albert-ernest-fryer.html
"Geer, Mr. Alfred Emest",26.0,Engineering Crew,Mr,Alfred Emest,Geer,/titanic-victim/alfred-emest-geer.html
"Godley, Mr. George Auguste",38.0,Engineering Crew,Mr,George Auguste,Godley,/titanic-survivor/george-godley.html
"Godwin, Mr. Frederick Charles",36.0,Engineering Crew,Mr,Frederick Charles,Godwin,/titanic-victim/frederick-charles-godwin.html
"Golder, Mr. Martin William",35.0,Engineering Crew,Mr,Martin William,Golder,/titanic-victim/m-golder.html
"Gordon, Mr. John",30.0,Engineering Crew,Mr,John,Gordon,/titanic-victim/j-gordon.html
"Goree, Mr. Frank",40.0,Engineering Crew,Mr,Frank,Goree,/titanic-victim/frank-goree.html
"Gosling, Mr. Bertram James",22.0,Engineering Crew,Mr,Bertram James,Gosling,/titanic-victim/bertram-james-gosling.html
"Gosling, Mr. Frank Henry",25.0,Engineering Crew,Mr,Frank Henry,Gosling,/titanic-victim/s-gosling.html
"Gradidge, Mr. Ernest Edward",22.0,Engineering Crew,Mr,Ernest Edward,Gradidge,/titanic-victim/ernest-edward-gradidge.html
"Graham, Mr. Thomas Gibson",28.0,Engineering Crew,Mr,Thomas Gibson,Graham,/titanic-survivor/thomas-graham.html
"Green, Mr. George",20.0,Engineering Crew,Mr,George,Green,/titanic-victim/george-green.html
"Gregory, Mr. David",43.0,Engineering Crew,Mr,David,Gregory,/titanic-victim/david-gregory.html
"Gumery, Mr. George",24.0,Engineering Crew,Mr,George,Gumery,/titanic-victim/george-gumery.html
"Haggan, Mr. John",35.0,Engineering Crew,Mr,John,Haggan,/titanic-survivor/john-haggan.html
"Hall, Mr. J.",32.0,Engineering Crew,Mr,J.,Hall,/titanic-victim/j-hall.html
"Hallett, Mr. George Alexander",23.0,Engineering Crew,Mr,George Alexander,Hallett,/titanic-victim/george-hallett.html
"Hands, Mr. Bernard",54.0,Engineering Crew,Mr,Bernard,Hands,/titanic-victim/bernard-hands.html
"Hannam, Mr. George",30.0,Engineering Crew,Mr,George,Hannam,/titanic-victim/george-hannam.html
"Harris, Mr. Edward John",29.0,Engineering Crew,Mr,Edward John,Harris,/titanic-victim/edward-harris.html
"Harris, Mr. Fred",39.0,Engineering Crew,Mr,Fred,Harris,/titanic-survivor/fred-harris.html
"Harris, Mr. Amos",24.0,Engineering Crew,Mr,Amos,Harris,/titanic-victim/amos-harris.html
"Harrison, Mr. Norman E.",38.0,Engineering Crew,Mr,Norman E.,Harrison,/titanic-victim/norman-harrison.html
"Hart, Mr. James",54.0,Engineering Crew,Mr,James,Hart,/titanic-victim/thomas-hart.html
"Harvey, Mr. Herbert Gifford",34.0,Engineering Crew,Mr,Herbert Gifford,Harvey,/titanic-victim/herbert-gifford-harvey.html
"Head, Mr. Alfred",24.0,Engineering Crew,Mr,Alfred,Head,/titanic-victim/a-head.html
"Hebb, Mr. William Albert Thomas",22.0,Engineering Crew,Mr,William Albert Thomas,Hebb,/titanic-survivor/a-hebb.html
"Hendrickson, Mr. Charles Osker",28.0,Engineering Crew,Mr,Charles Osker,Hendrickson,/titanic-survivor/charles-george-hendrickson.html
"Hesketh, Mr. John Henry",33.0,Engineering Crew,Mr,John Henry,Hesketh,/titanic-victim/john-henry-hesketh.html
"Heslin, Mr. James",51.0,Engineering Crew,Mr,James,Heslin,/titanic-victim/james-haslin.html
"Hill, Mr. James",25.0,Engineering Crew,Mr,James,Hill,/titanic-victim/james-hill.html
"Hinton, Mr. Stephen William",30.0,Engineering Crew,Mr,Stephen William,Hinton,/titanic-victim/stephen-william-hinton.html
"Hodge, Mr. Charley",29.0,Engineering Crew,Mr,Charley,Hodge,/titanic-victim/charles-hodge.html
"Hodges, Mr. W.",26.0,Engineering Crew,Mr,W.,Hodges,/titanic-victim/w-hodges.html
"Hodgkinson, Mr. Leonard",46.0,Engineering Crew,Mr,Leonard,Hodgkinson,/titanic-victim/leonard-hodgkinson.html
"Hopgood, Mr. Roland John C.",29.0,Engineering Crew,Mr,Roland John C.,Hopgood,/titanic-victim/roland-hopgood.html
"Hosgood, Mr. Richard William",22.0,Engineering Crew,Mr,Richard William,Hosgood,/titanic-victim/richard-hosgood.html
"Hosking, Mr. George Fox",36.0,Engineering Crew,Mr,George Fox,Hosking,/titanic-victim/george-fox-hosking.html
"Hunt, Mr. Tom",27.0,Engineering Crew,Mr,Tom,Hunt,/titanic-victim/tom-hunt.html
"Hunt, Mr. Albert Sylvanus",23.0,Engineering Crew,Mr,Albert Sylvanus,Hunt,/titanic-survivor/albert-hunt.html
"Hurst, Mr. Walter",23.0,Engineering Crew,Mr,Walter,Hurst,/titanic-survivor/walter-hurst.html
"Hurst, Mr. Charles John",40.0,Engineering Crew,Mr,Charles John,Hurst,/titanic-victim/charles-john-hurst.html
"Ingram, Mr. George",19.0,Engineering Crew,Mr,George,Ingram,/titanic-victim/charles-ingram.html
"Instance, Mr. Thomas",31.0,Engineering Crew,Mr,Thomas,Instance,/titanic-victim/t-instance.html
"Jackopson, Mr. John Henry",30.0,Engineering Crew,Mr,John Henry,Jackopson,/titanic-victim/john-jacobson.html
"Jago, Mr. Joseph",59.0,Engineering Crew,Mr,Joseph,Jago,/titanic-victim/joseph-jago.html
"James, Mr. Thomas",27.0,Engineering Crew,Mr,Thomas,James,/titanic-victim/thomas-james.html
"Joas, Mr. N.",39.0,Engineering Crew,Mr,N.,Joas,/titanic-victim/n-joas.html
"Judd, Mr. Charles Edward",31.0,Engineering Crew,Mr,Charles Edward,Judd,/titanic-survivor/charles-judd.html
"Jukes, Mr. Henry James",38.0,Engineering Crew,Mr,Henry James,Jukes,/titanic-victim/james-jukes.html
"Jupe, Mr. Boykett Herbert",30.0,Engineering Crew,Mr,Boykett Herbert,Jupe,/titanic-victim/herbert-jupe.html
"Kasper, Mr. F.",40.0,Engineering Crew,Mr,F.,Kasper,/titanic-survivor/f-kasper.html
"Kearl, Mr. Charles Henry",44.0,Engineering Crew,Mr,Charles Henry,Kearl,/titanic-victim/charles-henry-kearl.html
"Kearl, Mr. George Edward",25.0,Engineering Crew,Mr,George Edward,Kearl,/titanic-victim/g-kearl.html
"Keegan, Mr. James",38.0,Engineering Crew,Mr,James,Keegan,/titanic-victim/james-keegan.html
"Kelly, Mr. William Patrick",23.0,Engineering Crew,Mr,William Patrick,Kelly,/titanic-victim/william-kelly.html
"Kelly, Mr. James",44.0,Engineering Crew,Mr,James,Kelly,/titanic-victim/james-kelly-3.html
"Kemish, Mr. George",22.0,Engineering Crew,Mr,George,Kemish,/titanic-survivor/george-kemish.html
"Kemp, Mr. Thomas Hulman",43.0,Engineering Crew,Mr,Thomas Hulman,Kemp,/titanic-victim/thomas-hulman-kemp.html
"Kenzler, Mr. August",44.0,Engineering Crew,Mr,August,Kenzler,/titanic-victim/augustus-kenzler.html
"Kerr, Mr. Thomas Russell",26.0,Engineering Crew,Mr,Thomas Russell,Kerr,/titanic-victim/thomas-kerr.html
"Kinchenten, Mr. Frederick Charles",36.0,Engineering Crew,Mr,Frederick Charles,Kinchenten,/titanic-victim/frederick-kenchenten.html
"Kinsella, Mr. Louis",30.0,Engineering Crew,Mr,Louis,Kinsella,/titanic-victim/louis-kinsella.html
"Kirkham, Mr. James",43.0,Engineering Crew,Mr,James,Kirkham,/titanic-victim/james-kirkham.html
"Knowles, Mr. Thomas",44.0,Engineering Crew,Mr,Thomas,Knowles,/titanic-survivor/thomas-knowles.html
"Lahy, Mr. T.",41.0,Engineering Crew,Mr,T.,Lahy,/titanic-victim/t-lahy.html
"Lee, Mr. Herbert Henry",17.0,Engineering Crew,Mr,Herbert Henry,Lee,/titanic-victim/h-lee.html
"Light, Mr. W.",47.0,Engineering Crew,Mr,W.,Light,/titanic-victim/w-light.html
"Light, Mr. Christopher William",20.0,Engineering Crew,Mr,Christopher William,Light,/titanic-victim/christopher-william-light.html
"Lindsay, Mr. William Charles",30.0,Engineering Crew,Mr,William Charles,Lindsay,/titanic-survivor/william-charles-lindsay.html
"Lloyd, Mr. William",29.0,Engineering Crew,Mr,William,Lloyd,/titanic-victim/william-lloyd.html
"Long, Mr. Frank",31.0,Engineering Crew,Mr,Frank,Long,/titanic-victim/f-long.html
"Long, Mr. William",36.0,Engineering Crew,Mr,William,Long,/titanic-victim/w-long.html
"Mackie, Mr. William Dickson",32.0,Engineering Crew,Mr,William Dickson,Mackie,/titanic-victim/william-dickson-mackie.html
"Major, Mr. William James",32.0,Engineering Crew,Mr,William James,Major,/titanic-survivor/william-james-major.html
"Marett, Mr. George John",26.0,Engineering Crew,Mr,George John,Marett,/titanic-victim/george-john-marett.html
"Marsh, Mr. Frederick Charles",39.0,Engineering Crew,Mr,Frederick Charles,Marsh,/titanic-victim/frederick-charles-marsh.html
"Maskell, Mr. Leopold Adolphus",25.0,Engineering Crew,Mr,Leopold Adolphus,Maskell,/titanic-victim/leopold-adolphus-maskell.html
"Mason, Mr. Frank Archibald Robert",32.0,Engineering Crew,Mr,Frank Archibald Robert,Mason,/titanic-survivor/frank-archibald-robert-mason.html
"Mason, Mr. J.",39.0,Engineering Crew,Mr,J.,Mason,/titanic-victim/j-mason.html
"May, Mr. Arthur William",22.0,Engineering Crew,Mr,Arthur William,May,/titanic-victim/arthur-may.html
"May, Mr. Arthur William",59.0,Engineering Crew,Mr,Arthur William,May,/titanic-victim/arthur-william-may.html
"Mayo, Mr. William Peter",28.0,Engineering Crew,Mr,William Peter,Mayo,/titanic-victim/william-peter-mayo.html
"Mayzes, Mr. Thomas Jubilee",25.0,Engineering Crew,Mr,Thomas Jubilee,Mayzes,/titanic-survivor/thomas-mayzes.html
"McAndrew, Mr. Thomas Patrick",38.0,Engineering Crew,Mr,Thomas Patrick,McAndrew,/titanic-victim/thomas-mcandrew.html
"McAndrews, Mr. William",23.0,Engineering Crew,Mr,William,McAndrews,/titanic-victim/william-mcandrews.html
"McCastlin, Mr. William",28.0,Engineering Crew,Mr,William,McCastlin,/titanic-victim/w-mccastlin.html
"McGann, Mr. James",29.0,Engineering Crew,Mr,James,McGann,/titanic-survivor/james-mcgann.html
"McGarvey, Mr. Edward Joseph",34.0,Engineering Crew,Mr,Edward Joseph,McGarvey,/titanic-victim/edward-joseph-mcgarvey.html
"McGaw, Mr. Erroll Victor",30.0,Engineering Crew,Mr,Erroll Victor,McGaw,/titanic-victim/eroll-mcgaw.html
"McInerney, Mr. Thomas",38.0,Engineering Crew,Mr,Thomas,McInerney,/titanic-victim/thomas-mcinerney.html
"McIntyre, Mr. William",21.0,Engineering Crew,Mr,William,McIntyre,/titanic-survivor/william-mcintyre.html
"McQuillan, Mr. William",26.0,Engineering Crew,Mr,William,McQuillan,/titanic-victim/william-mcquillan.html
"McRae, Mr. William Alexander",32.0,Engineering Crew,Mr,William Alexander,McRae,/titanic-victim/william-alexander-mcrae.html
