"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","bedrooms","price","number_of_reviews"
"8747",18420920,"De Pijp - Rivierenbuurt",52.34718,4.9099,"Entire apartment","Entire home/apt",2,225,14
"8748",18421577,"De Baarsjes - Oud-West",52.3673,4.8668,"Private room in apartment","Private room",1,59,5
"8749",18422431,"Centrum-Oost",52.36143,4.88617,"Private room in apartment","Private room",1,121,21
"8750",18423345,"Centrum-West",52.37089,4.88606,"Private room in apartment","Private room",1,171,66
"8751",18427304,"Oostelijk Havengebied - Indische Buurt",52.36455,4.93448,"Entire apartment","Entire home/apt",1,100,10
"8752",18436756,"Watergraafsmeer",52.34908,4.93882,"Private room in apartment","Private room",1,50,5
"8753",18441982,"De Baarsjes - Oud-West",52.36222,4.86215,"Entire apartment","Entire home/apt",1,130,0
"8754",18452492,"Westerpark",52.39191,4.89104,"Entire apartment","Entire home/apt",1,200,2
"8755",18452684,"Oud-Oost",52.35347,4.91866,"Entire apartment","Entire home/apt",1,125,11
"8756",18454658,"Oud-Oost",52.35514,4.90826,"Entire apartment","Entire home/apt",1,129,12
"8757",18457079,"Bos en Lommer",52.37819,4.84898,"Entire apartment","Entire home/apt",1,120,13
"8758",18458032,"De Pijp - Rivierenbuurt",52.34594,4.89752,"Entire apartment","Entire home/apt",1,135,16
"8759",18458695,"Geuzenveld - Slotermeer",52.37616,4.79858,"Private room in apartment","Private room",3,298,85
"8760",18460188,"Oud-Noord",52.38675,4.92479,"Entire house","Entire home/apt",1,115,10
"8761",18462553,"Osdorp",52.34991,4.79567,"Entire apartment","Entire home/apt",2,121,3
"8763",18471413,"Bos en Lommer",52.38134,4.86151,"Entire apartment","Entire home/apt",2,169,1
"8765",18474639,"De Pijp - Rivierenbuurt",52.33824,4.90196,"Entire apartment","Entire home/apt",1,75,0
"8766",18478473,"Oostelijk Havengebied - Indische Buurt",52.37131,4.94384,"Entire apartment","Entire home/apt",2,80,5
"8768",18479156,"De Pijp - Rivierenbuurt",52.33884,4.89809,"Private room in house","Private room",1,30,144
"8769",18480843,"De Baarsjes - Oud-West",52.3612,4.86249,"Entire apartment","Entire home/apt",3,139,5
"8772",18485336,"Bos en Lommer",52.38299,4.8514,"Entire apartment","Entire home/apt",2,200,18
"8773",18487037,"Oud-Oost",52.36222,4.92496,"Entire apartment","Entire home/apt",1,200,20
"8774",18494062,"De Pijp - Rivierenbuurt",52.35054,4.88849,"Entire apartment","Entire home/apt",1,130,18
"8775",18494849,"De Pijp - Rivierenbuurt",52.34024,4.89769,"Entire house","Entire home/apt",3,259,26
"8776",18494983,"Centrum-Oost",52.37036,4.93049,"Entire apartment","Entire home/apt",1,120,1
"8777",18496018,"De Pijp - Rivierenbuurt",52.34929,4.88676,"Entire apartment","Entire home/apt",1,189,8
"8778",18496295,"De Baarsjes - Oud-West",52.36215,4.85777,"Entire apartment","Entire home/apt",1,175,34
"8779",18496678,"De Baarsjes - Oud-West",52.36085,4.86176,"Entire apartment","Entire home/apt",2,160,18
"8780",18496957,"Oud-Oost",52.35614,4.91533,"Entire apartment","Entire home/apt",1,95,11
"8781",18497835,"De Pijp - Rivierenbuurt",52.35244,4.88853,"Entire apartment","Entire home/apt",1,116,10
"8782",18498226,"Oud-Oost",52.35972,4.91547,"Entire apartment","Entire home/apt",1,140,29
"8783",18498278,"Noord-West",52.40887,4.92418,"Private room in apartment","Private room",1,75,4
"8784",18498784,"De Pijp - Rivierenbuurt",52.34436,4.89801,"Entire apartment","Entire home/apt",1,160,1
"8785",18498898,"Bos en Lommer",52.38319,4.85241,"Entire apartment","Entire home/apt",2,150,17
"8787",18501003,"Bos en Lommer",52.37493,4.8453,"Entire apartment","Entire home/apt",1,90,9
"8788",18501297,"Zuid",52.34788,4.84919,"Entire apartment","Entire home/apt",2,150,16
"8789",18503663,"Zuid",52.35237,4.85945,"Entire apartment","Entire home/apt",3,250,5
"8790",18504490,"Westerpark",52.38355,4.87261,"Entire apartment","Entire home/apt",2,180,10
"8791",18505331,"Zuid",52.35149,4.84788,"Entire apartment","Entire home/apt",2,85,7
"8792",18511155,"De Baarsjes - Oud-West",52.36724,4.87214,"Entire apartment","Entire home/apt",1,125,4
"8793",18511999,"Centrum-Oost",52.36202,4.89762,"Entire apartment","Entire home/apt",2,100,18
"8794",18512244,"De Pijp - Rivierenbuurt",52.34303,4.90206,"Entire apartment","Entire home/apt",1,145,20
"8795",18513396,"Zuid",52.34792,4.85978,"Entire apartment","Entire home/apt",1,100,2
"8796",18514561,"De Aker - Nieuw Sloten",52.3424,4.79778,"Entire house","Entire home/apt",3,195,8
