"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","bedrooms","price","number_of_reviews"
"1002",2080427,"Oud-Oost",52.35231,4.91507,"Entire apartment","Entire home/apt",1,120,18
"1004",2084758,"De Pijp - Rivierenbuurt",52.35033,4.88886,"Entire apartment","Entire home/apt",2,115,17
"1005",2088011,"Oud-Oost",52.36101,4.92844,"Entire apartment","Entire home/apt",1,99,22
"1006",2088473,"Bos en Lommer",52.37951,4.85445,"Entire apartment","Entire home/apt",1,121,32
"1007",2090727,"De Pijp - Rivierenbuurt",52.3534,4.89177,"Entire apartment","Entire home/apt",1,110,41
"1008",2091152,"De Pijp - Rivierenbuurt",52.35059,4.90647,"Private room in apartment","Private room",1,65,467
"1009",2091917,"De Pijp - Rivierenbuurt",52.35726,4.8876,"Entire apartment","Entire home/apt",1,85,10
"1011",2093406,"Centrum-West",52.3764,4.88371,"Entire apartment","Entire home/apt",1,95,47
"1012",2093507,"Centrum-West",52.37532,4.88534,"Entire apartment","Entire home/apt",1,95,82
"1013",2097548,"Noord-West",52.40325,4.91954,"Entire house","Entire home/apt",3,150,26
"1014",2102217,"Zuid",52.34819,4.87766,"Entire apartment","Entire home/apt",2,200,28
"1015",2104859,"De Pijp - Rivierenbuurt",52.35498,4.88678,"Entire apartment","Entire home/apt",1,116,7
"1016",2106623,"Centrum-Oost",52.36157,4.90263,"Entire apartment","Entire home/apt",1,121,5
"1019",2116719,"Oud-Noord",52.38937,4.92845,"Entire house","Entire home/apt",1,166,49
"1020",2117111,"De Baarsjes - Oud-West",52.36038,4.8536,"Entire apartment","Entire home/apt",2,220,37
"1023",2130095,"De Baarsjes - Oud-West",52.36662,4.8761,"Entire apartment","Entire home/apt",3,325,17
"1024",2130337,"De Baarsjes - Oud-West",52.36774,4.86663,"Entire apartment","Entire home/apt",1,100,1
"1026",2133306,"Zuid",52.3484,4.84651,"Entire apartment","Entire home/apt",1,93,12
"1028",2137009,"Oud-Noord",52.3916,4.92628,"Entire house","Entire home/apt",3,160,1
"1029",2137159,"Watergraafsmeer",52.35385,4.92765,"Entire apartment","Entire home/apt",1,134,97
"1030",2141536,"Zuid",52.35557,4.85445,"Entire apartment","Entire home/apt",3,120,2
"1031",2144304,"Zuid",52.35461,4.87548,"Entire house","Entire home/apt",4,466,19
"1032",2144308,"Noord-West",52.41302,4.91906,"Entire apartment","Entire home/apt",1,90,14
"1033",2144830,"De Pijp - Rivierenbuurt",52.34777,4.88827,"Entire apartment","Entire home/apt",1,199,11
"1034",2146724,"De Baarsjes - Oud-West",52.37117,4.87,"Entire house","Entire home/apt",1,115,50
"1035",2147106,"Oud-Oost",52.35609,4.92265,"Entire apartment","Entire home/apt",1,75,2
"1036",2148417,"Bos en Lommer",52.37576,4.86089,"Entire apartment","Entire home/apt",1,190,70
"1038",2148688,"Geuzenveld - Slotermeer",52.38428,4.83754,"Entire house","Entire home/apt",4,177,10
"1039",2151999,"De Pijp - Rivierenbuurt",52.34293,4.90264,"Entire apartment","Entire home/apt",2,171,45
"1040",2159904,"Centrum-Oost",52.37092,4.89912,"Entire apartment","Entire home/apt",1,190,27
"1041",2166650,"Zuid",52.35364,4.85404,"Private room in apartment","Private room",1,2000,2
"1042",2166657,"Zuid",52.3535,4.85413,"Entire apartment","Entire home/apt",1,800,18
"1043",2166978,"Centrum-West",52.37328,4.88065,"Entire apartment","Entire home/apt",1,100,73
"1044",2174398,"Westerpark",52.39159,4.87204,"Entire apartment","Entire home/apt",1,150,9
"1047",2176204,"Zuid",52.35152,4.85463,"Entire apartment","Entire home/apt",2,220,16
"1048",2180729,"De Baarsjes - Oud-West",52.37015,4.86628,"Entire apartment","Entire home/apt",2,150,28
"1049",2186361,"Westerpark",52.38468,4.87144,"Entire apartment","Entire home/apt",1,125,129
"1050",2190558,"Zuid",52.34908,4.84836,"Entire apartment","Entire home/apt",1,140,1
"1051",2190893,"De Baarsjes - Oud-West",52.37174,4.87105,"Entire apartment","Entire home/apt",1,150,18
"1052",2191590,"De Baarsjes - Oud-West",52.36079,4.86245,"Entire apartment","Entire home/apt",1,109,101
"1053",2191598,"De Baarsjes - Oud-West",52.37395,4.86327,"Private room in apartment","Private room",1,85,10
"1054",2191745,"Bos en Lommer",52.37752,4.85465,"Entire apartment","Entire home/apt",1,175,1
"1055",2199617,"Zuid",52.35073,4.84574,"Entire apartment","Entire home/apt",3,175,8
"1056",2205757,"Westerpark",52.38459,4.87398,"Entire apartment","Entire home/apt",1,109,14
"1057",2206842,"De Baarsjes - Oud-West",52.37077,4.86844,"Entire apartment","Entire home/apt",2,150,0
"1058",2207534,"Westerpark",52.38838,4.88774,"Entire apartment","Entire home/apt",2,125,31
"1060",2211896,"De Pijp - Rivierenbuurt",52.35258,4.90359,"Private room in apartment","Private room",1,48,142
"1062",2222064,"De Baarsjes - Oud-West",52.37379,4.85447,"Entire apartment","Entire home/apt",1,185,16
"1063",2224903,"Oud-Oost",52.35637,4.91608,"Entire apartment","Entire home/apt",2,145,17
"1064",2233122,"De Baarsjes - Oud-West",52.36865,4.85471,"Entire apartment","Entire home/apt",1,300,13
"1065",2234543,"Westerpark",52.37602,4.8717,"Entire apartment","Entire home/apt",2,600,5
"1066",2234721,"Oostelijk Havengebied - Indische Buurt",52.36821,4.94167,"Entire apartment","Entire home/apt",2,99,6
"1067",2235666,"Oud-Noord",52.3927,4.91509,"Entire apartment","Entire home/apt",2,130,79
"1068",2235708,"De Pijp - Rivierenbuurt",52.35304,4.9008,"Entire apartment","Entire home/apt",2,179,55
"1069",2247902,"De Baarsjes - Oud-West",52.36527,4.86106,"Entire apartment","Entire home/apt",1,120,38
"1070",2251421,"De Pijp - Rivierenbuurt",52.35606,4.89882,"Entire apartment","Entire home/apt",2,180,1
"1072",2259650,"De Pijp - Rivierenbuurt",52.34992,4.88794,"Entire apartment","Entire home/apt",1,110,0
"1073",2260822,"Zuid",52.35454,4.85635,"Entire apartment","Entire home/apt",1,150,0
"1074",2261343,"Centrum-Oost",52.36111,4.888,"Entire apartment","Entire home/apt",1,218,10
"1075",2267402,"Westerpark",52.37946,4.87083,"Private room in apartment","Private room",1,260,25
"1076",2272303,"De Pijp - Rivierenbuurt",52.35437,4.89783,"Entire apartment","Entire home/apt",1,329,62
"1077",2275817,"Centrum-Oost",52.37366,4.9052,"Private room in apartment","Private room",1,115,185
"1078",2275974,"Oostelijk Havengebied - Indische Buurt",52.36267,4.94619,"Entire apartment","Entire home/apt",1,70,7
"1079",2281598,"Zuid",52.35264,4.84805,"Entire apartment","Entire home/apt",2,175,4
"1080",2282124,"Centrum-Oost",52.36971,4.91382,"Entire apartment","Entire home/apt",3,230,6
"1081",2290250,"De Pijp - Rivierenbuurt",52.35344,4.89242,"Entire apartment","Entire home/apt",2,150,17
"1082",2290605,"Zuid",52.34573,4.86752,"Entire apartment","Entire home/apt",2,189,49
"1083",2295460,"Centrum-West",52.37334,4.89493,"Entire apartment","Entire home/apt",1,238,31
"1084",2300660,"Oud-Oost",52.35509,4.91534,"Entire apartment","Entire home/apt",2,500,10
"1085",2305578,"De Baarsjes - Oud-West",52.36948,4.86118,"Private room in apartment","Private room",1,43,42
"1086",2314484,"Zuid",52.34644,4.87797,"Entire apartment","Entire home/apt",2,500,3
"1087",2327850,"De Pijp - Rivierenbuurt",52.35179,4.89578,"Entire apartment","Entire home/apt",1,112,25
"1088",2327973,"De Baarsjes - Oud-West",52.3691,4.85985,"Entire apartment","Entire home/apt",1,175,8
"1089",2334206,"De Baarsjes - Oud-West",52.36213,4.85197,"Entire apartment","Entire home/apt",1,48,5
"1090",2334466,"Slotervaart",52.37053,4.84136,"Entire apartment","Entire home/apt",1,97,63
"1091",2335656,"De Baarsjes - Oud-West",52.36472,4.85398,"Entire apartment","Entire home/apt",1,120,12
"1092",2342414,"De Baarsjes - Oud-West",52.36303,4.87228,"Entire apartment","Entire home/apt",3,175,2
"1093",2343911,"Oostelijk Havengebied - Indische Buurt",52.3633,4.93853,"Entire apartment","Entire home/apt",1,80,4
"1094",2344086,"Oostelijk Havengebied - Indische Buurt",52.36271,4.93643,"Entire apartment","Entire home/apt",3,85,1
"1096",2347301,"Westerpark",52.38863,4.87854,"Entire apartment","Entire home/apt",3,210,51
"1097",2353432,"Noord-Oost",52.39477,4.93171,"Entire house","Entire home/apt",3,150,7
"1098",2354430,"De Baarsjes - Oud-West",52.36602,4.85484,"Entire apartment","Entire home/apt",1,75,4
"1100",2372749,"Zuid",52.35493,4.85513,"Entire apartment","Entire home/apt",2,250,24
"1101",2381731,"Oud-Noord",52.38997,4.94547,"Entire house","Entire home/apt",1,99,31
"1102",2382064,"De Baarsjes - Oud-West",52.37311,4.86022,"Entire apartment","Entire home/apt",1,95,2
"1104",2388275,"De Baarsjes - Oud-West",52.36517,4.85144,"Entire apartment","Entire home/apt",1,130,97
"1105",2391988,"Oostelijk Havengebied - Indische Buurt",52.36253,4.93394,"Entire apartment","Entire home/apt",1,80,6
"1106",2395419,"Zuid",52.34789,4.86139,"Entire apartment","Entire home/apt",1,120,43
"1109",2398995,"Westerpark",52.37733,4.87668,"Entire apartment","Entire home/apt",1,250,25
"1110",2399343,"Centrum-Oost",52.36107,4.89517,"Entire house","Entire home/apt",3,500,0
"1111",2400353,"Centrum-Oost",52.37259,4.90517,"Entire apartment","Entire home/apt",1,150,13
"1112",2400486,"Slotervaart",52.3562,4.83205,"Entire apartment","Entire home/apt",1,130,43
"1113",2403258,"De Baarsjes - Oud-West",52.36868,4.87324,"Entire apartment","Entire home/apt",1,139,56
"1114",2404640,"Westerpark",52.37399,4.86901,"Entire apartment","Entire home/apt",1,115,11
"1115",2405360,"Centrum-Oost",52.36782,4.92811,"Entire apartment","Entire home/apt",3,109,23
"1116",2417145,"De Baarsjes - Oud-West",52.37442,4.85731,"Entire apartment","Entire home/apt",1,99,12
"1117",2418369,"Oud-Noord",52.39586,4.91646,"Entire apartment","Entire home/apt",1,109,29
"1118",2423338,"Oud-Oost",52.35252,4.91098,"Entire apartment","Entire home/apt",1,139,0
"1119",2428434,"Centrum-Oost",52.36773,4.90385,"Entire apartment","Entire home/apt",1,99,14
"1121",2434568,"Zuid",52.34956,4.849,"Entire apartment","Entire home/apt",2,214,37
"1123",2449785,"Oud-Oost",52.35644,4.91265,"Entire apartment","Entire home/apt",1,100,16
"1126",2457711,"De Baarsjes - Oud-West",52.36636,4.85325,"Entire apartment","Entire home/apt",3,130,15
"1127",2459307,"Watergraafsmeer",52.3508,4.93236,"Entire apartment","Entire home/apt",1,114,32
"1128",2460851,"Noord-West",52.40915,4.8904,"Entire house","Entire home/apt",2,95,0
"1129",2463922,"Zuid",52.35097,4.85701,"Entire apartment","Entire home/apt",3,314,39
"1130",2464037,"Oud-Oost",52.36069,4.93039,"Entire apartment","Entire home/apt",3,90,4
"1131",2464210,"De Baarsjes - Oud-West",52.36347,4.86108,"Entire apartment","Entire home/apt",1,139,76
"1132",2469007,"De Baarsjes - Oud-West",52.37018,4.86688,"Entire apartment","Entire home/apt",2,180,37
"1133",2471428,"Centrum-West",52.37532,4.8829,"Entire apartment","Entire home/apt",1,157,30
"1134",2471617,"Centrum-Oost",52.3719,4.90437,"Entire apartment","Entire home/apt",1,109,468
"1135",2472277,"Bos en Lommer",52.38345,4.85563,"Entire apartment","Entire home/apt",1,120,50
"1136",2474754,"Centrum-West",52.37944,4.88488,"Entire apartment","Entire home/apt",1,185,12
"1137",2476314,"Oud-Oost",52.35316,4.91651,"Entire apartment","Entire home/apt",4,200,7
"1140",2481241,"Oud-Noord",52.3995,4.91687,"Entire apartment","Entire home/apt",1,125,45
"1141",2482541,"Westerpark",52.38613,4.87686,"Entire apartment","Entire home/apt",3,300,42
"1142",2485053,"Bos en Lommer",52.3822,4.8473,"Entire house","Entire home/apt",3,129,20
"1143",2491188,"Westerpark",52.37265,4.87156,"Entire apartment","Entire home/apt",1,95,40
"1144",2497346,"Zuid",52.35855,4.88103,"Private room in apartment","Private room",1,93,569
"1145",2503773,"Oostelijk Havengebied - Indische Buurt",52.3627,4.93715,"Entire apartment","Entire home/apt",2,130,85
"1146",2511089,"Oud-Oost",52.3561,4.92377,"Private room in apartment","Private room",1,73,10
"1147",2513623,"De Pijp - Rivierenbuurt",52.34836,4.89652,"Entire apartment","Entire home/apt",2,120,6
"1148",2514858,"De Pijp - Rivierenbuurt",52.35089,4.89437,"Private room in apartment","Private room",1,79,59
"1149",2518607,"De Pijp - Rivierenbuurt",52.34016,4.90352,"Entire apartment","Entire home/apt",1,109,72
"1151",2533302,"De Pijp - Rivierenbuurt",52.35389,4.89545,"Entire apartment","Entire home/apt",1,195,11
"1152",2534067,"De Pijp - Rivierenbuurt",52.35451,4.89214,"Entire apartment","Entire home/apt",1,188,31
"1154",2534166,"Bos en Lommer",52.38371,4.85473,"Private room in apartment","Private room",1,55,191
"1156",2535007,"De Baarsjes - Oud-West",52.36649,4.85499,"Entire apartment","Entire home/apt",1,140,53
"1157",2535685,"Centrum-Oost",52.36173,4.89223,"Private room in apartment","Private room",1,143,261
"1158",2536909,"Zuid",52.34866,4.84704,"Entire apartment","Entire home/apt",1,120,29
"1159",2536927,"De Baarsjes - Oud-West",52.3719,4.86277,"Entire apartment","Entire home/apt",1,99,92
"1160",2540900,"De Baarsjes - Oud-West",52.37296,4.8509,"Entire apartment","Entire home/apt",1,104,54
"1161",2545716,"Oostelijk Havengebied - Indische Buurt",52.37415,4.94683,"Entire house","Entire home/apt",4,400,5
"1162",2548617,"De Baarsjes - Oud-West",52.35988,4.86481,"Entire apartment","Entire home/apt",3,149,28
"1163",2550571,"Westerpark",52.3797,4.87801,"Entire apartment","Entire home/apt",1,82,55
"1164",2550665,"Noord-Oost",52.4143,5.02769,"Entire house","Entire home/apt",3,120,12
"1166",2555144,"Buitenveldert - Zuidas",52.3276,4.88054,"Entire apartment","Entire home/apt",3,95,0
"1169",2565357,"Oud-Noord",52.39653,4.91583,"Entire house","Entire home/apt",4,110,6
"1170",2573607,"Westerpark",52.37781,4.87688,"Entire apartment","Entire home/apt",1,99,24
"1172",2579698,"Bos en Lommer",52.3747,4.85011,"Entire apartment","Entire home/apt",1,119,34
"1173",2581386,"Zuid",52.35247,4.88225,"Entire apartment","Entire home/apt",2,290,25
"1174",2584405,"De Baarsjes - Oud-West",52.37049,4.85541,"Private room in apartment","Private room",1,68,67
"1175",2584870,"De Pijp - Rivierenbuurt",52.35395,4.89836,"Entire apartment","Entire home/apt",1,175,8
"1176",2595280,"Centrum-West",52.37865,4.88254,"Entire apartment","Entire home/apt",3,230,5
"1177",2598472,"De Baarsjes - Oud-West",52.36158,4.86094,"Entire apartment","Entire home/apt",1,130,15
"1178",2606699,"Zuid",52.3529,4.87757,"Entire apartment","Entire home/apt",1,110,9
"1180",2622859,"Oud-Oost",52.36152,4.93122,"Private room in apartment","Private room",1,65,238
"1181",2625330,"Centrum-West",52.37227,4.8751,"Entire apartment","Entire home/apt",1,193,18
"1182",2629594,"Oostelijk Havengebied - Indische Buurt",52.36809,4.9436,"Private room in apartment","Private room",1,69,7
"1183",2633218,"Westerpark",52.37497,4.87361,"Entire apartment","Entire home/apt",1,145,31
"1184",2633912,"Centrum-West",52.38425,4.88349,"Entire apartment","Entire home/apt",1,136,70
"1186",2638773,"Watergraafsmeer",52.35233,4.92968,"Entire house","Entire home/apt",3,200,42
"1188",2640539,"Centrum-West",52.38218,4.88491,"Entire apartment","Entire home/apt",1,100,8
"1191",2648251,"Bos en Lommer",52.37623,4.84726,"Entire apartment","Entire home/apt",1,125,81
"1192",2651452,"De Baarsjes - Oud-West",52.3653,4.85152,"Entire apartment","Entire home/apt",1,83,33
"1193",2652378,"Zuid",52.35048,4.87795,"Entire apartment","Entire home/apt",1,136,8
"1194",2657675,"De Pijp - Rivierenbuurt",52.35365,4.89967,"Entire apartment","Entire home/apt",1,145,56
"1195",2661450,"Centrum-West",52.37039,4.88375,"Entire apartment","Entire home/apt",2,405,7
"1196",2665706,"Buitenveldert - Zuidas",52.34284,4.86425,"Entire apartment","Entire home/apt",1,75,0
"1197",2667413,"Noord-Oost",52.38466,4.95789,"Entire house","Entire home/apt",4,199,14
"1198",2667541,"Oud-Noord",52.38943,4.9368,"Entire house","Entire home/apt",2,145,10
"1199",2668398,"De Baarsjes - Oud-West",52.36541,4.85198,"Entire apartment","Entire home/apt",2,150,81
"1201",2672582,"Centrum-West",52.37657,4.87958,"Entire house","Entire home/apt",1,289,69
"1202",2674172,"Zuid",52.35202,4.84673,"Entire apartment","Entire home/apt",2,135,19
"1203",2676525,"Centrum-Oost",52.35927,4.89156,"Entire apartment","Entire home/apt",1,120,58
"1204",2677110,"Zuid",52.34854,4.86204,"Private room in apartment","Private room",1,65,4
"1205",2682113,"Bos en Lommer",52.37775,4.85517,"Entire apartment","Entire home/apt",1,155,9
"1206",2694094,"Oostelijk Havengebied - Indische Buurt",52.36673,4.93488,"Entire apartment","Entire home/apt",1,120,11
"1207",2697739,"De Baarsjes - Oud-West",52.36715,4.85559,"Entire apartment","Entire home/apt",2,275,10
"1208",2700366,"Oostelijk Havengebied - Indische Buurt",52.36365,4.93776,"Entire apartment","Entire home/apt",1,100,48
"1209",2704035,"Zuid",52.35416,4.87907,"Entire apartment","Entire home/apt",3,215,21
"1210",2705165,"Oud-Noord",52.39381,4.90867,"Entire house","Entire home/apt",3,240,295
"1211",2708012,"Centrum-Oost",52.37154,4.90365,"Entire apartment","Entire home/apt",1,125,16
"1212",2708863,"De Baarsjes - Oud-West",52.36381,4.84935,"Entire apartment","Entire home/apt",3,259,86
"1213",2713216,"Oostelijk Havengebied - Indische Buurt",52.36366,4.93527,"Entire apartment","Entire home/apt",1,115,7
"1214",2714981,"Centrum-Oost",52.36927,4.92642,"Entire apartment","Entire home/apt",2,100,2
"1215",2718586,"Zuid",52.34829,4.86204,"Entire apartment","Entire home/apt",3,170,19
"1217",2722090,"Westerpark",52.38144,4.87903,"Entire house","Entire home/apt",4,240,28
"1218",2727573,"Zuid",52.3538,4.85807,"Entire house","Entire home/apt",1,105,30
"1220",2735075,"Noord-West",52.41449,4.90719,"Entire house","Entire home/apt",2,160,40
"1221",2741939,"Oud-Oost",52.35625,4.92933,"Entire apartment","Entire home/apt",2,199,27
"1222",2745483,"Zuid",52.351,4.86018,"Entire apartment","Entire home/apt",3,225,16
"1223",2745824,"Centrum-Oost",52.36094,4.89383,"Entire apartment","Entire home/apt",1,214,35
"1224",2747704,"Bos en Lommer",52.37296,4.84527,"Entire apartment","Entire home/apt",3,450,62
"1225",2749719,"Westerpark",52.37337,4.87317,"Entire apartment","Entire home/apt",2,270,24
"1226",2754109,"De Baarsjes - Oud-West",52.36636,4.85322,"Entire apartment","Entire home/apt",1,85,16
"1228",2757646,"Slotervaart",52.36566,4.83283,"Entire apartment","Entire home/apt",1,119,18
"1231",2763386,"Slotervaart",52.36173,4.8454,"Private room in apartment","Private room",1,27,278
"1232",2773486,"Centrum-West",52.37962,4.88046,"Entire apartment","Entire home/apt",1,120,1
"1233",2774448,"Westerpark",52.37579,4.87084,"Entire apartment","Entire home/apt",1,249,31
"1234",2775209,"Zuid",52.34749,4.87515,"Entire apartment","Entire home/apt",2,200,25
"1235",2775470,"Bos en Lommer",52.37872,4.84936,"Entire apartment","Entire home/apt",2,120,42
"1236",2779916,"Centrum-Oost",52.36493,4.88071,"Entire apartment","Entire home/apt",1,150,76
"1237",2780062,"Centrum-Oost",52.36124,4.89053,"Private room in apartment","Private room",1,99,48
"1238",2783156,"Oostelijk Havengebied - Indische Buurt",52.36418,4.93848,"Entire apartment","Entire home/apt",1,150,18
"1239",2787342,"Westerpark",52.38118,4.87404,"Entire apartment","Entire home/apt",2,215,16
"1240",2787410,"De Baarsjes - Oud-West",52.3714,4.84908,"Entire apartment","Entire home/apt",1,110,17
"1242",2788545,"Oostelijk Havengebied - Indische Buurt",52.36405,4.93431,"Entire apartment","Entire home/apt",2,185,8
"1244",2793217,"Centrum-West",52.37535,4.88414,"Entire apartment","Entire home/apt",1,149,42
"1245",2793978,"Oostelijk Havengebied - Indische Buurt",52.3606,4.93536,"Entire apartment","Entire home/apt",1,196,8
"1246",2796590,"Westerpark",52.37338,4.87387,"Entire apartment","Entire home/apt",2,219,15
"1247",2797128,"Noord-West",52.40675,4.92341,"Entire house","Entire home/apt",3,140,8
"1248",2797568,"De Baarsjes - Oud-West",52.35988,4.86303,"Entire apartment","Entire home/apt",1,159,37
"1250",2800887,"De Baarsjes - Oud-West",52.37285,4.85539,"Entire apartment","Entire home/apt",1,110,20
"1252",2802139,"Zuid",52.34703,4.86028,"Entire apartment","Entire home/apt",1,115,21
"1254",2805366,"Zuid",52.345,4.86442,"Entire apartment","Entire home/apt",1,125,38
"1255",2807515,"De Baarsjes - Oud-West",52.36918,4.86304,"Private room in apartment","Private room",1,50,275
"1257",2813205,"Zuid",52.34652,4.87018,"Entire apartment","Entire home/apt",3,189,16
"1258",2813295,"Centrum-West",52.37733,4.89533,"Private room in house","Private room",1,40,199
"1259",2815078,"Centrum-Oost",52.36142,4.88975,"Entire apartment","Entire home/apt",2,240,41
"1260",2822772,"Westerpark",52.38612,4.86938,"Entire apartment","Entire home/apt",1,99,10
"1261",2825996,"Centrum-Oost",52.37146,4.9043,"Entire apartment","Entire home/apt",3,286,13
"1262",2827475,"Centrum-West",52.37347,4.87765,"Entire apartment","Entire home/apt",1,150,15
"1263",2829338,"Centrum-Oost",52.36654,4.92054,"Entire apartment","Entire home/apt",3,210,19
"1264",2829553,"De Pijp - Rivierenbuurt",52.35052,4.88894,"Entire apartment","Entire home/apt",1,150,46
"1266",2833161,"Zuid",52.35397,4.85346,"Entire apartment","Entire home/apt",2,111,0
"1268",2842697,"Westerpark",52.38166,4.8687,"Entire apartment","Entire home/apt",2,139,27
"1269",2842942,"Centrum-Oost",52.36291,4.90648,"Entire apartment","Entire home/apt",1,140,1
"1270",2845562,"Centrum-Oost",52.36276,4.91149,"Entire apartment","Entire home/apt",4,500,21
"1271",2845566,"Centrum-Oost",52.36376,4.92128,"Entire apartment","Entire home/apt",1,74,33
"1272",2849298,"De Baarsjes - Oud-West",52.36081,4.85665,"Entire house","Entire home/apt",1,200,9
"1274",2859942,"Centrum-West",52.37393,4.87916,"Entire apartment","Entire home/apt",1,108,28
"1276",2869412,"Bos en Lommer",52.37457,4.84778,"Entire apartment","Entire home/apt",1,70,1
"1277",2870512,"Oostelijk Havengebied - Indische Buurt",52.36436,4.9324,"Entire apartment","Entire home/apt",2,125,17
"1278",2871016,"Centrum-West",52.38084,4.88822,"Entire apartment","Entire home/apt",1,180,38
"1279",2879050,"Watergraafsmeer",52.35353,4.92631,"Entire apartment","Entire home/apt",1,85,2
"1281",2891805,"Westerpark",52.3915,4.87409,"Entire apartment","Entire home/apt",1,125,30
"1282",2892186,"Oostelijk Havengebied - Indische Buurt",52.36431,4.94246,"Entire apartment","Entire home/apt",1,120,27
"1283",2892780,"Oostelijk Havengebied - Indische Buurt",52.3781,4.94106,"Entire apartment","Entire home/apt",2,155,0
"1284",2896017,"Oud-Noord",52.39112,4.9355,"Entire house","Entire home/apt",3,150,0
"1286",2904582,"Centrum-Oost",52.371,4.92957,"Entire apartment","Entire home/apt",3,200,15
"1287",2910674,"Noord-West",52.41839,4.90386,"Entire house","Entire home/apt",4,190,19
"1288",2912309,"De Pijp - Rivierenbuurt",52.35298,4.90767,"Entire apartment","Entire home/apt",2,200,38
"1289",2919154,"Zuid",52.3475,4.86081,"Entire apartment","Entire home/apt",1,139,26
"1290",2921938,"De Baarsjes - Oud-West",52.36719,4.86091,"Entire apartment","Entire home/apt",3,200,8
"1291",2922243,"Oud-Oost",52.36535,4.92859,"Entire apartment","Entire home/apt",2,160,19
"1292",2923212,"Oostelijk Havengebied - Indische Buurt",52.36278,4.9322,"Entire apartment","Entire home/apt",1,85,12
"1293",2924071,"Zuid",52.35589,4.87548,"Entire apartment","Entire home/apt",2,220,8
"1294",2925820,"De Pijp - Rivierenbuurt",52.34199,4.91206,"Private room in apartment","Private room",1,60,2
"1295",2929209,"Zuid",52.34794,4.84615,"Entire apartment","Entire home/apt",1,130,13
"1296",2929338,"Westerpark",52.38729,4.88084,"Entire apartment","Entire home/apt",1,110,9
"1297",2931148,"De Pijp - Rivierenbuurt",52.35316,4.9009,"Entire apartment","Entire home/apt",1,150,23
"1298",2932598,"De Pijp - Rivierenbuurt",52.35086,4.89401,"Entire apartment","Entire home/apt",1,70,75
"1299",2933576,"Bos en Lommer",52.38437,4.85187,"Entire apartment","Entire home/apt",1,80,2
"1300",2934419,"De Baarsjes - Oud-West",52.37198,4.87144,"Entire apartment","Entire home/apt",1,124,6
"1301",2934713,"Gaasperdam - Driemond",52.30029,4.96165,"Private room in apartment","Private room",1,270,0
"1302",2939374,"De Pijp - Rivierenbuurt",52.34113,4.90943,"Entire apartment","Entire home/apt",3,159,3
"1303",2940577,"Oud-Noord",52.39715,4.92342,"Entire house","Entire home/apt",3,350,2
"1304",2941459,"Westerpark",52.38879,4.88713,"Entire apartment","Entire home/apt",2,150,4
"1305",2941649,"De Baarsjes - Oud-West",52.37322,4.85891,"Entire apartment","Entire home/apt",2,95,9
"1306",2942229,"Bijlmer-Oost",52.32455,4.97597,"Private room in apartment","Private room",1,65,324
"1307",2944820,"De Baarsjes - Oud-West",52.36504,4.87642,"Entire apartment","Entire home/apt",2,290,1
"1308",2945732,"Zuid",52.35033,4.84606,"Entire apartment","Entire home/apt",1,95,3
"1310",2947213,"De Pijp - Rivierenbuurt",52.34832,4.88823,"Entire apartment","Entire home/apt",1,90,41
"1311",2947350,"Buitenveldert - Zuidas",52.33298,4.8827,"Entire apartment","Entire home/apt",2,80,12
"1312",2954775,"Bos en Lommer",52.37858,4.85309,"Entire apartment","Entire home/apt",1,99,24
"1313",2955565,"Zuid",52.34703,4.8735,"Entire apartment","Entire home/apt",2,158,10
"1314",2956140,"De Pijp - Rivierenbuurt",52.35636,4.90181,"Private room in apartment","Private room",1,106,310
"1317",2960672,"De Baarsjes - Oud-West",52.3658,4.87265,"Entire apartment","Entire home/apt",1,109,34
"1319",2961379,"Oud-Oost",52.35269,4.91307,"Entire apartment","Entire home/apt",2,119,17
"1321",2964891,"De Baarsjes - Oud-West",52.37191,4.86417,"Private room in apartment","Private room",1,110,41
"1322",2965812,"IJburg - Zeeburgereiland",52.36234,4.97478,"Entire apartment","Entire home/apt",2,160,40
"1323",2966887,"Oud-Oost",52.35704,4.91213,"Entire apartment","Entire home/apt",1,125,2
"1324",2972015,"De Pijp - Rivierenbuurt",52.35213,4.88649,"Entire apartment","Entire home/apt",1,140,43
"1325",2972662,"Oostelijk Havengebied - Indische Buurt",52.36242,4.93209,"Entire apartment","Entire home/apt",1,104,45
"1327",2977541,"Watergraafsmeer",52.35129,4.93837,"Entire apartment","Entire home/apt",4,176,22
"1328",2981499,"De Pijp - Rivierenbuurt",52.34967,4.89092,"Entire apartment","Entire home/apt",2,115,8
"1334",2985952,"Oud-Oost",52.35325,4.91147,"Entire apartment","Entire home/apt",1,99,36
"1335",2987644,"Centrum-Oost",52.36867,4.91222,"Entire apartment","Entire home/apt",1,150,56
"1337",2994502,"De Baarsjes - Oud-West",52.37001,4.87126,"Entire apartment","Entire home/apt",1,119,25
"1338",2995257,"De Pijp - Rivierenbuurt",52.35058,4.90435,"Private room in apartment","Private room",1,85,15
"1339",2996619,"De Baarsjes - Oud-West",52.36527,4.87739,"Entire apartment","Entire home/apt",1,99,9
"1340",3000721,"De Pijp - Rivierenbuurt",52.34438,4.90076,"Private room in apartment","Private room",1,75,43
"1341",3004400,"Oostelijk Havengebied - Indische Buurt",52.364,4.93521,"Entire apartment","Entire home/apt",3,180,36
