time,MB,MB_err,SMB,SMB_err,D,D_err,BMB,BMB_err
1932,-101.595012,149.905914,394.543974,115.240590,470.240826,94.602948,25.898526,15.546948
1933,-182.872665,148.571425,313.153575,113.497115,470.110875,94.604715,25.915365,15.551920
1934,-167.061595,144.160400,321.313880,109.472625,462.972935,92.544655,25.402540,15.280725
1935,-365.836945,146.866875,125.707825,112.793760,464.972040,92.704525,26.572730,15.916190
1936,-236.022420,152.002362,261.513954,117.742932,470.740050,94.783386,26.796324,16.046172
1937,-183.568355,140.153430,299.776690,105.397035,458.238155,91.134660,25.106525,15.130345
1938,-96.921735,136.340275,380.457020,102.458785,453.099685,88.734420,24.279070,14.732495
1939,-34.846915,149.772275,446.505960,120.060910,454.896580,88.124505,26.456295,15.850490
1940,-32.957568,139.390002,444.258486,106.015194,452.763228,89.278380,24.453192,14.822634
1941,-81.096065,146.366460,394.552955,116.022915,449.642405,87.854405,26.006615,15.601195
1942,-32.978115,140.638515,436.088860,109.317500,444.034545,87.184630,25.032065,15.093115
1943,-191.817720,133.925070,275.999130,102.125540,443.016925,85.334445,24.799925,14.978870
1944,-56.055096,135.415608,413.105298,104.278524,444.679386,85.107078,24.481008,14.835444
1945,138.027670,136.545770,598.017825,107.768440,435.835915,82.554605,24.154240,14.675920
1946,81.996155,135.460625,542.218815,106.429985,435.835915,82.484525,24.386745,14.782500
1947,20.014775,137.030490,477.039305,108.902130,432.133355,81.804530,24.891175,15.023400
1948,-242.141574,139.482600,222.077454,110.928012,437.775162,83.061504,26.443866,15.845970
1949,-331.628415,136.526060,135.556985,106.324500,441.039355,84.194550,26.145680,15.677115
1950,-279.135575,137.031585,192.375805,106.067540,445.694565,85.364375,25.816815,15.498630
1951,-252.014250,136.092805,223.912170,103.866955,450.364375,86.584570,25.562410,15.363945
1952,-127.799880,139.738800,353.112774,107.785536,455.332548,87.594048,25.580106,15.378588
1953,-85.464385,135.264255,392.914470,102.982195,453.626380,86.414480,24.752475,14.955875
1954,-8.101175,134.772235,463.160545,103.626785,446.914395,84.894620,24.347325,14.764250
1955,-48.314320,127.153590,413.548285,95.335080,438.311345,82.894420,23.551260,14.413120
1956,-70.718520,128.338998,387.334140,98.641758,433.867380,80.775102,24.185646,14.700390
1957,-242.280065,139.163550,221.186715,111.944770,436.694760,81.104460,26.772020,16.030435
1958,-230.627805,133.971790,233.025125,104.469570,437.806185,82.424665,25.846745,15.514690
1959,-9.149455,129.883790,451.689690,100.027520,436.485250,81.524575,24.353530,14.767170
1960,-216.469236,146.359740,258.914988,117.870666,447.892866,85.187232,27.491724,16.455726
1961,-214.060820,134.625870,263.909600,102.275190,452.623360,86.204605,25.347060,15.252255
1962,-326.740700,133.169520,156.475135,100.380840,457.596120,86.144380,25.619715,15.394240
1963,-33.686580,128.971290,437.961675,96.410370,447.823610,84.424500,23.824280,14.529555
1964,47.249136,127.644696,512.215536,96.656940,441.364890,82.108806,23.601876,14.446752
1965,-183.587335,128.366485,283.874735,98.024035,442.425260,81.494645,25.036810,15.095305
1966,-306.517145,125.712570,153.498925,95.602625,434.875965,80.214590,25.140105,15.147135
1967,-129.410385,123.394090,325.945365,93.730905,431.137270,78.894385,24.218480,14.705120
1968,-263.889660,127.736928,193.187976,99.328740,431.602206,78.840060,25.475796,15.324420
1969,-144.700235,122.893675,310.796040,92.704160,431.382550,79.334575,24.113725,14.657305
1970,-39.673675,116.989800,411.525090,86.164090,428.524600,77.874575,22.674165,14.068560
1971,-209.875730,125.032940,243.526175,96.667330,428.401960,77.854500,24.999945,15.077055
1972,231.473772,120.741570,673.816980,93.313530,420.015378,75.340368,22.327830,13.962534
1973,-30.448665,118.925030,409.133975,90.828060,416.175920,75.414475,23.406720,14.353260
1974,-160.631390,123.305395,278.808170,97.117740,414.530135,74.474600,24.909425,15.032160
1975,34.305255,125.336620,475.316870,99.484400,416.348930,74.764410,24.662685,14.912440
1976,148.648338,125.978298,594.223692,99.814056,421.600524,75.460782,23.974830,14.606694
1977,-16.005980,128.201505,430.804755,102.819040,421.495065,75.044730,25.315670,15.236195
1978,31.015875,127.762410,485.533585,100.081905,429.758665,77.994660,24.759045,14.958795
1979,-45.902400,123.679155,410.438120,94.570040,432.198325,78.344695,24.142560,14.670445
1980,-111.584616,124.780014,346.170852,95.513922,432.919074,78.879954,24.836394,15.004536
1981,-219.208780,122.654965,238.927905,94.037505,433.071405,77.284735,25.065280,15.109540
1982,-143.007730,119.333830,314.424505,89.031895,433.418155,78.104525,24.014445,14.613140
1983,200.774090,121.222705,648.499515,93.222460,424.959280,76.194480,22.766145,14.102505
1984,72.442746,124.404498,521.320152,97.367346,424.531452,76.012344,24.345954,14.773224
1985,-89.455660,127.824460,364.672230,101.210850,428.452330,76.534660,25.675195,15.423440
1986,52.565063,79.443851,520.576882,46.851922,447.354158,43.044969,20.657715,5.291483
1987,-46.762357,92.170979,422.429172,38.018629,446.323267,41.927120,22.868255,5.467809
1988,-103.164369,80.485545,354.293344,31.886404,435.192917,40.473919,22.264798,5.422476
1989,-159.470870,75.674250,299.074902,26.916747,436.170956,41.052002,22.374824,5.437692
1990,-133.814781,84.296743,329.673539,29.670622,441.090655,42.521330,22.397659,5.419650
1991,-74.487310,88.286062,388.649066,34.978422,440.681464,42.147639,22.454906,5.451795
1992,89.274643,77.937997,551.984254,49.678577,443.632943,42.275775,19.076668,5.175368
1993,-88.796380,86.147341,375.554798,33.799939,442.908478,42.005068,21.442685,5.322525
1994,-112.000349,73.689762,347.068659,31.236183,438.127076,41.421161,20.941940,5.299588
1995,-209.661234,76.800047,238.106962,21.429620,425.307045,40.185201,22.461152,5.424642
1996,135.048510,84.558422,583.959379,52.556338,428.240125,40.376486,20.670738,5.289315
1997,8.947947,80.819158,457.282601,41.155430,426.698868,39.897442,21.635781,5.362347
1998,-241.156463,82.233849,211.190066,19.007110,428.972457,39.977150,23.374062,5.497852
1999,-45.972504,85.606800,410.212411,36.919120,434.108138,39.999374,22.076791,5.420844
2000,-75.726221,78.074324,383.314097,34.498259,436.856531,40.233841,22.183797,5.445971
2001,-24.675066,85.202564,427.089960,38.438090,430.399925,39.548508,21.365115,5.311742
2002,-140.390676,83.523020,325.728245,29.315541,443.617314,40.867010,22.501613,5.428537
2003,-164.953949,95.032990,315.996651,28.439700,457.105437,42.256431,23.845172,5.539990
2004,-163.614268,84.186751,330.575748,29.751814,470.787088,43.775949,23.402903,5.535789
2005,-166.148698,95.439036,337.215132,30.349358,479.875783,44.666568,23.488051,5.521600
2006,-237.147350,77.178628,258.270879,23.244380,473.104148,44.282050,22.314090,5.435772
2007,-254.747301,95.761346,236.232698,21.260930,466.494323,43.901089,24.485667,5.643954
2008,-197.647116,97.485380,297.695693,26.792614,471.772283,44.517975,23.570544,5.531232
2009,-237.986507,85.342247,256.996387,23.129681,473.128799,44.822922,21.854107,5.379059
2010,-371.706121,93.713632,131.792658,11.861337,476.943006,45.259501,26.555773,5.815030
2011,-328.409833,94.134148,175.636759,15.807310,480.157109,45.807151,23.889483,5.566810
2012,-424.385599,109.959003,86.788136,7.810939,481.817871,46.059458,29.355867,6.220890
2013,-99.562046,88.467422,407.651480,36.688639,485.416290,46.480651,21.797243,5.369568
2014,-181.622824,93.909695,331.886459,29.869792,489.648024,46.976465,23.861267,5.555324
2015,-212.560774,95.819396,304.030049,27.362694,493.440217,47.392455,23.150602,5.512023
2016,-257.843046,102.387294,253.243989,22.791962,485.768742,46.786811,25.318321,5.708695
2017,-100.480141,91.194954,412.668788,37.140205,490.701352,47.141114,22.447601,5.428814
2018,-72.194741,82.866678,437.120942,39.340889,487.461466,46.929317,21.854191,5.394568
2019,-410.238872,98.923457,96.185531,8.656706,479.662471,45.890708,26.761940,5.858340
2020,-171.674988,88.567986,342.850313,30.856525,490.657290,46.933307,23.868009,5.593365
2021,-195.740502,87.275821,325.413457,29.287215,495.513989,47.142764,25.640000,5.822964
