"R0000100","R0000300","R0000500","R0173600","R0214700","R0214800","R0410100","R0410300","R0614800","R0614900","R0615100","R0615200","R0615300","R0615400","R0615700","R0618011","R0618017","R0618100","R0618200","R0618300","R0810200","R3127500","R3127800","R3401000","R3523200","R3523500","R3559000","R3656400","R3728200","R3728500","R3897100","R4006900","R4182300","R4295100","R4416800","R4418000","R4982800","R5079800","R5081000"
1745,1,64,5,3,2,1,64,51,0,23,31,15,48,20,57,60,58,83,79,2,2,816,1,2,1097,26818,2,2,1196,28000,2,2,24500,1118,1,35000,1617,1
1746,8,57,1,3,1,8,57,51,1,29,33,14,50,25,65,68,59,96,96,1,1,1538,1,1,1538,32000,1,1,1153,36000,1,1,36000,1398,1,30000,1865,1
1747,5,58,5,3,2,5,58,53,1,13,33,13,35,6,43,38,58,51,43,2,2,936,1,2,1300,2000,1,3,-4,800,1,3,0,961,1,10000,-4,1
1748,3,62,1,3,1,3,62,51,1,24,33,15,35,21,58,62,60,78,85,1,-4,-4,8,-4,-4,0,7,-4,-4,0,4,-4,0,-4,3,2400,500,1
1749,10,57,7,2,2,10,57,51,1,7,27,10,19,8,35,41,50,20,27,2,-4,-4,4,-4,-4,0,6,-4,-4,0,6,-4,0,-4,4,0,-4,7
1750,5,59,4,1,1,5,59,51,1,15,25,11,41,14,46,51,49,42,42,1,1,940,1,1,1213,28400,1,1,1833,32000,1,1,31000,1655,1,35000,1150,1
1751,11,60,8,1,2,11,60,51,0,7,15,5,32,5,35,37,34,12,8,2,1,261,1,1,400,8000,2,1,269,6000,1,1,16000,1098,2,5320,937,1
1752,10,63,8,1,2,10,63,51,0,6,14,8,20,6,34,38,36,8,9,2,1,700,1,1,750,1500,4,1,575,3000,2,-4,5000,-4,7,0,-4,7
1753,2,58,3,2,1,-5,-5,51,1,8,14,8,20,7,36,40,36,10,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1754,10,60,7,2,2,10,60,51,1,8,12,4,22,6,36,38,30,6,5,2,1,937,4,-4,-4,0,4,3,833,0,1,3,0,-4,1,0,2250,1
1755,3,62,3,2,1,3,62,51,0,18,19,7,44,12,50,48,39,34,27,1,1,1835,6,1,-4,1000,1,1,-4,850,7,-4,200,-4,7,0,-4,7
1756,3,63,4,1,1,3,63,51,0,27,33,13,40,25,62,68,58,84,91,1,2,1575,1,1,1634,33000,1,1,1538,31000,1,1,18000,1538,1,41000,1572,1
1757,8,57,7,2,2,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,1,1081,22000,1,-5,-5,-5,-5,-5,-5,-5
1758,8,63,7,2,2,8,63,51,0,6,16,5,27,5,34,37,35,10,8,2,1,641,1,1,1038,19000,1,1,940,22000,1,1,22000,769,1,21000,900,1
1759,9,61,3,2,1,9,61,51,1,10,15,8,30,5,39,37,37,16,12,1,1,398,1,1,530,-2,3,-4,-4,0,3,-4,0,-4,4,3896,746,1
1760,3,60,7,2,2,3,60,51,1,6,4,2,15,3,34,33,20,1,1,2,1,850,3,1,1275,4800,4,1,364,0,1,1,42000,1075,1,21840,1050,2
1761,8,63,1,3,1,8,63,51,0,25,18,11,44,11,59,46,42,49,36,1,1,1490,1,1,1400,32000,3,1,-4,12500,1,1,52000,1315,1,-5,-5,-5
1762,3,62,1,3,1,3,62,51,1,11,17,6,27,13,40,49,37,15,19,1,3,387,1,3,320,0,1,3,801,20000,1,-5,-5,-5,-5,0,1048,1
1763,11,61,4,1,1,11,61,51,1,19,30,13,35,21,51,62,55,57,69,1,1,105,1,1,38,8500,1,1,274,4680,1,1,12000,1009,1,18800,961,1
1764,10,64,1,3,1,10,64,51,0,9,25,5,14,9,38,43,43,13,21,1,1,600,1,1,604,15980,1,1,1000,23000,1,1,23000,800,1,22000,1000,1
1765,11,60,1,3,1,11,60,51,1,30,33,13,49,22,66,63,58,96,90,1,3,2000,1,1,1000,6000,1,1,1100,20000,1,1,22000,900,3,-2,1400,1
1766,12,58,5,3,2,12,58,51,1,25,34,13,46,22,59,63,59,88,85,2,3,900,1,3,630,16402,1,3,576,21000,1,3,0,929,1,55000,1328,1
1767,9,62,1,3,1,9,62,51,1,27,30,13,35,21,62,62,55,74,80,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1768,6,62,5,3,2,6,62,51,1,14,27,11,34,11,45,46,51,39,40,2,1,581,4,-4,-4,0,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
1769,11,63,5,3,2,11,63,51,0,12,21,11,29,4,42,35,45,25,21,2,1,562,1,1,800,12000,1,1,842,16000,1,1,16000,769,1,19000,1015,1
1770,7,63,5,3,2,7,63,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-4,-4,4,-4,-4,0,4,2,701,0,1,2,-2,514,1,3000,644,1
1771,4,62,1,3,1,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,1686,1,3,2248,19582,1,3,2002,22130,1,-5,-5,-5,-5,-5,-5,-5
1772,9,63,2,3,1,9,63,51,0,9,21,8,25,2,38,32,42,17,14,1,1,600,1,2,18,2000,1,2,9,700,5,1,700,425,3,1000,-4,5
1773,2,57,1,3,1,2,57,51,1,30,34,14,46,24,66,66,60,98,97,1,1,2072,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1774,8,57,8,1,2,8,57,51,0,13,20,8,38,16,43,54,41,26,29,2,2,988,1,2,988,20400,1,2,860,17900,1,2,21600,1046,1,23000,1375,1
1775,8,63,8,1,2,8,63,51,0,14,21,9,42,11,45,46,43,32,27,2,2,698,1,2,813,7259,1,2,777,16171,4,-4,0,-4,4,0,-4,7
1776,1,61,5,3,2,1,61,51,0,12,28,12,22,14,42,51,53,30,45,2,1,685,4,3,166,0,1,1,655,0,1,1,5000,710,4,0,-4,7
1777,11,57,1,3,1,10,57,51,1,21,33,13,46,11,54,46,58,78,62,1,1,1000,1,1,1346,35000,1,1,1346,35000,1,1,34000,1634,1,-5,-5,-5
1778,2,60,5,3,2,2,60,51,0,21,23,12,46,13,54,49,48,55,45,2,1,525,1,1,550,11000,1,1,600,11220,1,1,10500,600,6,11000,600,2
1779,2,60,4,1,1,2,60,51,0,13,21,6,33,13,43,49,40,23,24,1,1,600,1,1,595,16000,1,2,1074,12000,1,2,24000,1428,1,37000,1691,1
1780,9,62,1,3,1,9,62,51,1,30,26,12,40,22,66,63,51,74,77,1,1,618,1,1,650,20000,1,1,650,22000,1,1,24000,852,1,25000,865,1
1781,7,58,1,3,1,7,58,51,1,23,29,12,39,9,57,43,54,65,53,1,3,2403,1,3,2884,60000,1,3,384,12000,1,1,0,193,1,10000,1386,1
1782,7,61,4,1,1,7,61,51,1,14,31,14,35,16,45,54,57,51,58,1,1,600,1,1,620,12000,1,1,620,13000,1,1,13000,625,1,13000,639,1
1783,9,59,1,3,1,9,59,51,0,6,16,4,19,4,34,35,34,7,6,1,1,968,7,3,250,730,7,3,232,0,1,-5,-5,-5,-5,0,-4,4
1784,11,63,1,3,1,11,63,51,0,23,34,12,26,19,57,58,58,62,77,1,1,551,1,-4,-4,10000,8,-4,-4,890,8,-4,8000,535,8,1440,-4,8
1785,11,61,5,3,2,11,61,51,0,12,11,5,26,7,42,40,30,10,8,2,1,465,1,1,116,1200,1,1,218,800,3,-4,0,-4,4,0,-4,7
1786,8,63,5,3,2,8,63,51,0,14,17,10,36,13,45,49,40,25,25,2,1,1268,1,1,1162,5400,1,1,1337,24000,1,1,21600,1395,1,21600,-4,1
1787,9,62,5,3,2,9,62,51,1,15,22,11,30,15,46,52,46,30,37,2,1,428,1,1,744,10000,1,1,850,16000,3,1,10200,750,1,2000,850,1
1788,6,64,1,3,1,6,64,51,0,24,27,12,38,15,58,52,52,62,59,1,1,1030,1,1,1153,26000,1,1,1355,29200,1,1,34600,1241,1,29973,1471,1
1789,8,63,5,3,2,8,63,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,1,1100,4,1,1142,8000,1,3,2403,0,1,3,25000,801,1,60000,-4,1
1790,4,61,1,3,1,4,61,51,1,20,34,14,26,11,53,46,60,59,65,1,2,558,1,2,461,12000,1,2,825,14500,1,2,17000,844,1,18000,707,1
1791,5,61,1,3,1,5,61,51,1,21,24,14,30,19,54,58,51,47,59,1,1,1,1,1,1850,54000,1,-5,-5,-5,-5,-5,-5,-5,-5,55000,2000,1
1792,4,63,1,3,1,4,63,51,0,26,32,13,36,20,61,60,57,76,80,1,3,-4,1,3,1162,0,2,3,1442,0,1,-4,2500,-4,4,0,-4,1
1793,7,63,5,3,2,7,63,51,0,18,33,12,35,14,50,51,57,59,61,2,3,1750,1,1,1875,0,1,3,1076,0,1,3,0,1346,1,32000,1800,1
1794,5,62,5,3,2,5,62,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,1,650,1,1,650,260,1,1,650,1550,3,1,3534,600,4,4600,525,1
1795,2,57,5,3,2,2,57,51,1,17,30,12,49,11,49,46,54,63,49,2,2,1442,1,2,8894,37000,1,2,2564,42000,1,2,40000,3846,1,45000,2472,1
1796,7,61,1,3,1,7,61,51,1,20,25,12,47,9,53,43,50,57,42,1,1,287,1,1,750,5000,1,1,857,13000,7,1,0,500,3,576,500,4
1797,3,63,5,3,2,3,63,51,0,16,31,11,38,12,47,48,54,51,49,2,1,437,1,1,570,13000,1,1,562,11700,1,1,10880,500,1,10500,625,7
1798,12,62,5,3,2,12,62,51,1,21,31,14,33,22,54,63,57,64,77,2,1,575,1,1,750,14000,1,1,800,15600,1,1,16000,755,1,15600,812,4
1799,12,63,5,3,2,12,63,51,0,18,22,11,37,11,50,46,46,39,35,2,2,1322,1,2,1560,35000,1,2,1511,31200,1,2,30000,1442,1,37000,1586,2
1800,9,59,5,3,2,9,59,51,1,29,34,14,47,22,65,63,60,97,93,2,1,1362,1,1,1072,23000,1,1,1236,27000,1,1,27000,1274,1,28000,1236,1
1801,4,59,5,3,2,4,59,51,1,25,34,14,47,16,59,54,60,90,79,2,-5,-5,-5,1,50,2000,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1802,2,64,1,3,1,2,64,51,0,26,28,11,37,20,61,60,52,65,71,1,1,490,2,1,490,12425,1,1,477,12425,1,1,12740,521,1,12740,544,1
1803,11,61,5,3,2,11,61,51,1,20,32,12,49,21,53,62,56,73,73,2,2,1103,1,2,1338,33000,1,2,1322,34800,2,2,36000,1505,2,22000,1007,1
1804,11,59,5,3,2,11,59,51,1,29,34,14,50,20,65,60,60,98,90,2,1,1418,2,1,1442,24000,1,1,1076,14000,1,1,20000,1424,1,19000,1650,4
1805,2,64,1,3,1,2,64,51,0,19,23,13,30,14,51,51,49,41,46,1,1,811,1,1,900,21000,1,1,900,23000,1,1,23000,900,1,22000,900,1
1806,9,60,1,3,1,9,60,51,1,17,31,12,32,11,49,46,55,50,51,-5,1,1050,1,2,1850,10000,1,2,1482,20600,1,2,40000,1918,8,40000,1976,4
1807,8,59,4,1,1,8,59,51,1,14,22,9,28,10,45,44,44,25,27,1,1,1250,6,1,2300,19000,1,1,2612,16000,1,1,43000,2640,3,-2,1620,1
1808,4,58,5,3,2,4,58,51,1,28,33,14,49,22,64,63,59,94,90,2,1,2884,1,3,2637,0,1,3,3131,0,1,1,64000,3076,1,65000,2500,1
1809,8,60,1,3,1,8,60,51,1,19,23,13,39,14,51,51,49,47,46,1,3,1818,1,3,516,26000,1,3,930,28000,1,3,0,-4,1,0,1395,1
1810,6,63,1,3,1,6,63,53,0,17,25,12,44,9,49,43,50,49,39,1,1,2093,1,3,3605,0,1,3,-4,97000,1,3,156359,4038,1,0,4615,1
1811,1,63,4,1,1,1,63,51,0,12,18,10,35,10,42,44,41,24,22,1,1,1100,1,1,1363,30000,1,1,714,17000,6,1,800,-4,1,3900,-4,1
1812,10,64,4,1,1,10,64,51,0,5,17,4,27,8,32,41,35,9,9,1,1,777,1,1,750,13000,1,1,972,17000,1,1,13000,700,1,16000,775,1
1813,6,62,1,3,1,6,62,51,0,11,23,6,14,10,40,44,42,14,22,1,1,503,1,1,1666,12000,1,3,-4,0,6,-4,0,-4,7,0,-4,5
1814,4,59,8,1,2,-5,-5,51,1,16,28,12,29,5,47,37,53,42,37,-5,-5,-5,-5,-5,-5,-5,-5,2,1100,26000,1,2,24000,1033,1,26000,1200,1
1815,2,62,8,1,2,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,2,1346,28000,1,2,1057,22000,1,2,23848,1146,1,24000,1153,1
1816,3,61,8,1,2,3,61,51,0,6,16,8,46,8,34,41,37,19,12,2,-4,-4,4,-4,-4,0,4,1,585,0,1,1,2600,585,4,0,-4,7
1817,6,64,4,1,1,6,64,51,0,13,24,12,40,9,43,43,49,38,32,1,1,800,1,1,900,18000,7,-4,-4,0,3,3,15000,1000,1,5000,1050,1
1818,3,62,8,1,2,3,62,51,0,7,9,4,30,7,35,40,27,7,4,2,1,843,1,1,500,-2,1,1,500,9000,1,1,6200,600,2,-5,-5,-5
1819,9,62,4,1,1,9,62,51,-4,26,29,14,50,18,61,57,55,83,74,1,1,831,1,1,697,18500,1,1,650,17500,1,1,18500,650,1,17500,650,1
1820,8,57,4,1,1,8,57,67,0,11,27,1,13,4,-3,-3,-3,-3,-3,1,1,161,1,1,166,3333,1,1,188,4500,1,1,-2,150,1,4660,500,1
1821,4,62,4,1,1,4,62,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,475,2,1,133,1000,1,1,2069,-2,1,1,-2,166,1,30000,1041,1
1822,7,63,4,1,1,7,63,51,0,7,10,3,13,10,35,44,27,3,5,1,1,750,7,-4,-4,500,4,1,142,600,1,1,0,200,7,0,-4,7
1823,12,64,4,1,1,12,64,51,0,9,15,6,18,6,38,38,35,9,10,1,1,677,1,1,740,12000,1,1,700,13000,1,1,10000,800,3,8000,750,1
1824,7,57,8,1,2,7,57,51,0,8,10,5,8,7,36,40,29,3,5,2,1,487,1,1,465,8986,2,1,575,15000,1,1,27000,607,1,17000,339,1
1825,2,58,8,1,2,2,58,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,3,-4,4,-4,-4,0,6,1,-4,0,1,1,3100,460,1,4000,465,7
1826,11,60,6,3,2,11,60,51,1,17,32,13,47,11,49,46,57,68,54,2,2,1104,1,2,1162,25000,1,2,1250,25000,1,2,27000,1081,2,33000,1511,1
1827,8,62,2,3,1,8,62,51,0,24,26,9,40,10,58,44,48,55,44,1,1,865,1,1,81,17000,1,1,8653,18000,6,1,16000,889,1,23000,923,1
1828,7,63,6,3,2,7,63,51,0,11,13,4,24,7,40,40,31,10,8,2,-4,-4,4,-4,-4,0,4,-4,-4,0,7,-4,0,-4,4,0,-4,7
1829,12,60,7,2,2,12,60,51,1,7,16,5,23,6,35,38,35,9,9,2,-4,-4,4,-4,-4,35,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
1830,10,61,3,2,1,11,61,51,0,6,24,7,22,5,34,37,44,15,17,1,1,875,7,-4,-4,2000,7,-4,-4,0,7,-4,0,-4,7,0,-4,7
1831,10,62,7,2,2,10,62,51,0,7,23,10,29,7,35,40,46,21,21,2,-5,-5,-5,2,947,6070,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1832,9,63,7,2,2,9,63,51,0,8,18,9,37,6,36,38,40,20,14,2,-5,-5,-5,1,500,-1,1,1,-4,25000,1,-5,-5,-5,-5,-5,-5,-5
1833,10,57,8,1,2,10,57,51,0,6,12,8,19,4,34,35,34,7,6,2,-4,-4,4,-4,-4,0,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
1834,3,61,8,1,2,3,61,51,1,9,27,9,20,1,38,30,49,21,21,2,-4,-4,4,1,-4,0,1,1,-4,-1,1,-5,-5,-5,-5,-1,-4,1
1835,10,60,4,1,1,10,60,51,1,18,20,11,30,6,50,38,44,32,27,1,1,913,1,1,744,29900,1,1,1035,25000,1,1,21600,1128,1,-2,1150,1
1836,8,63,4,1,1,8,63,51,0,18,24,9,50,16,50,54,46,47,42,1,1,730,1,1,730,19000,3,1,850,8500,1,1,15000,799,1,25000,833,1
1837,9,57,4,1,1,9,57,51,0,14,17,9,32,6,45,38,39,23,18,1,1,536,1,1,232,3600,3,1,700,6000,7,1,6000,447,1,-2,500,1
1838,10,61,8,1,2,10,61,51,1,6,15,11,40,7,34,40,39,18,13,2,1,639,1,1,668,4400,1,1,697,22000,1,1,28000,784,1,15000,784,1
1839,9,64,8,1,2,9,64,51,0,12,11,3,30,4,42,35,28,11,5,2,-4,-4,4,1,475,700,1,3,58,1000,1,1,10000,468,1,200,-4,1
1840,11,60,8,1,2,11,60,51,0,12,10,9,35,9,42,43,33,16,13,2,-4,-4,4,-4,-4,0,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
1841,1,61,5,3,2,1,61,51,1,29,34,15,33,20,65,60,61,88,92,2,3,3571,1,3,3043,40000,1,2,1420,50000,1,3,52000,4000,1,50000,1923,1
1842,10,61,5,3,2,10,61,51,1,17,35,14,34,12,49,48,61,65,65,2,1,875,1,2,450,21000,5,2,565,4500,7,2,4000,274,7,1460,435,1
1843,4,57,1,3,1,4,57,51,1,30,34,14,49,24,66,66,60,99,97,1,1,2158,1,1,2418,50562,1,1,2504,58600,1,1,50000,1846,1,53000,2350,1
1844,5,57,5,3,2,5,57,51,1,26,35,15,49,17,61,55,62,96,85,2,-4,-4,4,1,2500,150,1,1,2500,1200,4,1,300,1875,4,300,-4,7
1845,4,59,1,3,1,4,59,51,1,30,31,7,50,16,66,54,51,81,68,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1846,5,57,2,3,1,5,57,51,1,26,32,14,50,23,61,65,58,89,87,1,1,1269,1,1,2153,56000,1,1,2649,62000,1,1,87000,5523,1,167697,5576,1
1847,4,60,8,1,2,4,60,51,0,20,32,14,47,19,53,58,58,76,73,2,2,970,1,2,1009,21000,1,2,1113,23000,1,2,23500,1129,1,27300,1312,1
1848,8,61,8,1,2,8,61,51,1,14,26,9,35,6,45,38,48,35,29,2,1,400,1,1,384,4000,1,1,460,3400,2,1,4000,460,1,3000,502,1
1849,7,64,5,3,2,7,64,51,0,19,21,8,41,15,51,52,42,38,35,2,1,750,1,1,500,6000,1,1,689,9000,1,1,12000,795,1,13000,835,1
1850,6,62,1,3,1,6,62,51,0,24,32,13,41,16,58,54,57,77,72,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1851,9,57,4,1,1,7,58,51,1,21,27,11,31,10,54,44,51,48,46,1,1,754,1,1,909,12000,2,1,699,0,2,1,0,909,6,0,-4,7
1852,12,62,5,3,2,12,62,51,0,28,32,14,43,24,64,66,58,89,91,2,-4,-4,4,-4,-4,0,4,-4,-4,0,7,-4,0,-4,4,0,-4,7
1853,12,60,5,3,2,12,60,51,1,21,26,13,48,18,54,57,52,65,61,2,1,1394,4,1,1937,28000,1,1,1346,15000,1,1,17000,1307,4,0,-4,1
1854,10,63,1,3,1,10,63,51,0,28,30,12,50,21,64,62,54,85,80,1,2,1075,1,2,1134,18000,1,2,1220,27000,1,2,27000,1201,1,30000,1511,1
1855,2,61,1,3,1,2,61,51,0,8,24,5,29,5,36,37,42,18,16,1,1,930,1,1,1125,18000,1,1,1093,22000,1,3,22000,-4,6,7500,795,1
1856,5,62,5,3,2,5,62,51,0,23,34,14,38,20,57,60,60,78,82,2,1,232,5,1,581,3000,2,1,800,5000,5,1,-2,650,1,11000,800,1
1857,12,57,1,3,1,12,57,51,1,22,34,13,31,12,55,48,59,68,67,1,1,721,1,1,865,18000,1,1,900,18000,1,1,22000,1153,1,24000,1162,1
1858,7,59,5,3,2,7,59,51,1,19,32,14,33,20,51,60,58,62,73,2,2,1134,2,2,1211,31500,2,2,1269,33000,1,2,34000,1307,2,38000,1461,2
1859,4,58,1,3,1,4,58,51,1,22,24,12,37,11,55,46,49,50,45,1,1,1320,1,1,1420,28000,1,1,1450,28000,1,1,26000,1333,3,10400,1430,1
1860,7,63,5,3,2,7,63,51,0,17,22,9,33,11,49,46,44,32,32,2,3,-4,1,3,-4,0,1,3,-4,0,1,3,1000,80,1,4207,89,1
1861,8,59,5,3,2,-5,-5,51,1,24,32,15,40,23,58,65,59,80,86,2,1,-4,1,1,1769,46000,1,1,1802,54000,1,1,-1,-4,1,-1,-4,1
1862,12,58,5,3,2,12,58,51,1,16,21,10,38,12,47,48,44,34,32,2,3,500,1,1,425,1250,1,2,232,5000,3,2,1000,450,1,6000,232,2
1863,2,59,5,3,2,2,59,51,1,20,31,15,45,10,53,44,58,75,58,2,-4,-4,4,-4,-4,0,4,-4,-4,0,4,-4,0,-4,3,2000,872,1
1864,1,61,1,3,1,1,61,51,1,9,19,9,32,10,38,44,41,20,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1865,6,60,5,3,2,6,60,51,1,7,31,13,30,5,35,37,56,35,32,2,1,625,1,1,620,14200,1,1,610,8000,4,1,3200,465,1,8200,550,1
1866,7,60,5,3,2,7,60,51,1,21,22,12,42,11,54,46,47,49,41,2,1,490,1,1,545,5000,1,1,580,6000,1,1,6000,590,1,8000,635,1
1867,7,62,1,3,1,7,62,51,1,26,33,14,40,21,61,62,59,84,86,1,1,783,1,1,1050,23000,1,1,1222,25000,1,1,31000,1271,1,31000,1329,1
1868,8,57,5,3,2,8,57,51,1,12,28,12,38,11,42,46,53,42,41,2,-4,-4,3,1,500,3000,1,1,500,7000,1,1,7000,384,1,8000,520,1
1869,12,63,1,3,1,12,63,51,0,15,25,6,34,4,46,35,44,30,22,1,-4,-4,4,-4,-4,0,7,1,285,0,1,1,0,900,1,18000,1250,1
1870,10,60,5,3,2,10,60,51,1,19,33,12,46,12,51,48,57,72,58,2,1,390,4,1,475,4851,2,1,425,5200,3,1,5446,425,3,6000,425,1
1871,7,58,5,3,2,7,58,51,1,22,34,13,26,15,55,52,59,62,71,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1872,3,59,1,3,1,3,59,51,0,10,21,11,16,6,39,38,45,16,21,1,-4,-4,6,-4,-4,0,6,1,425,0,4,1,400,450,1,6000,900,1
1873,4,63,1,3,1,4,63,51,0,10,20,5,23,5,39,37,38,14,13,1,1,600,1,1,576,12000,1,1,600,12000,1,1,12000,700,1,19548,800,1
1874,4,58,1,3,1,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,1,1130,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1875,12,60,1,3,1,12,60,51,1,30,33,13,46,25,66,68,58,95,95,1,1,1923,1,1,2097,48000,1,1,2243,49000,1,1,52000,2360,2,55000,2482,1
1876,7,57,5,3,2,7,57,51,1,25,29,15,36,20,59,60,56,72,77,2,1,700,2,1,800,5000,2,1,800,4880,2,1,5260,900,1,6000,800,1
1877,12,58,1,3,1,12,58,51,1,30,33,14,50,24,66,66,59,98,95,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1878,9,58,5,3,2,9,58,51,1,15,27,12,24,9,46,43,52,34,40,2,-4,-4,4,-4,-4,0,4,-4,-4,0,7,-4,0,-4,3,1543,450,7
1879,3,63,5,3,2,3,63,51,0,17,35,14,37,19,49,58,61,67,75,2,-5,-5,-5,1,1400,6000,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1880,8,59,5,3,2,8,59,51,1,29,33,13,50,24,65,66,58,94,92,2,3,439,1,3,641,0,1,3,705,11200,1,3,0,609,1,0,3525,1
1881,3,61,1,3,1,3,61,51,1,16,26,7,33,16,47,54,46,34,40,1,1,888,3,1,830,17312,1,1,985,19329,1,1,26799,985,3,26799,1035,1
1882,1,60,1,3,1,1,60,51,1,26,29,13,28,14,61,51,54,62,66,1,3,500,1,3,524,0,1,3,465,0,1,3,0,384,1,0,429,1
1883,11,63,5,3,2,11,63,51,0,20,27,11,33,12,53,48,51,48,49,2,1,890,3,1,500,10500,1,1,500,10000,1,1,16000,961,1,12000,500,1
1884,10,63,1,3,1,10,63,51,0,11,28,12,43,6,40,38,53,44,32,1,1,550,1,1,700,8000,1,1,750,14000,1,1,13000,666,1,16000,800,1
1885,8,59,5,3,2,8,59,51,1,17,32,13,40,17,49,55,57,62,64,2,1,1009,1,1,1057,21000,1,1,1106,23000,2,1,25000,1201,1,27000,1394,1
1886,6,58,5,3,2,6,58,51,1,30,35,14,44,24,66,66,61,98,99,2,1,1814,1,1,2350,55000,1,1,3125,65000,1,1,65000,2777,1,65000,2777,2
1887,7,60,1,3,1,7,60,51,1,7,12,4,16,9,35,43,30,4,7,1,1,400,1,1,425,7007,1,1,425,7710,1,1,9360,425,1,9000,528,1
1888,6,61,5,3,2,6,61,51,1,10,9,8,21,7,39,40,31,8,8,2,1,605,1,1,605,13624,1,1,650,14236,1,1,14040,675,1,15080,725,1
1889,6,62,1,3,1,6,62,51,0,16,28,11,29,10,47,44,52,40,42,1,1,475,1,1,535,11000,1,1,535,14500,1,1,16500,532,1,16580,637,1
1890,5,63,1,3,1,5,63,51,0,7,13,9,20,4,35,35,36,9,8,1,1,561,1,1,750,15000,3,1,750,18496,1,1,17000,465,8,0,465,4
1891,3,60,2,3,1,3,60,51,1,23,25,12,30,10,57,44,50,49,47,1,1,655,1,1,689,14000,1,1,710,14500,1,1,14000,600,1,8000,700,1
1892,3,64,6,3,2,3,64,51,0,17,32,11,39,19,49,58,55,56,63,2,-4,-4,8,1,690,0,1,1,792,12000,2,3,5000,200,1,0,-4,7
1893,4,60,5,3,2,4,60,51,1,14,23,12,33,15,45,52,48,34,40,2,1,961,1,1,1144,29500,1,1,1267,32000,1,1,34000,1367,1,39500,1230,1
1894,6,62,1,3,1,6,62,51,0,14,20,13,41,14,45,51,46,36,35,1,1,1050,1,1,1075,18000,3,-4,-4,0,3,1,10000,800,1,15000,700,1
1895,6,59,1,3,1,6,59,51,1,24,34,14,39,20,58,60,60,81,84,1,2,1627,1,2,1701,42000,1,2,1800,47000,1,2,45000,1900,1,48000,2046,1
1896,11,60,5,3,2,11,60,51,1,25,34,13,38,22,59,63,59,80,85,2,1,800,1,1,850,13000,1,1,840,12471,1,1,13200,925,1,14000,1000,1
1897,6,57,1,3,1,6,57,52,1,22,32,12,22,19,55,58,56,51,71,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1898,1,58,5,3,2,1,58,51,1,29,33,15,44,19,65,58,60,95,88,2,-4,-4,4,-4,-4,0,4,-5,-5,-5,-5,-5,-5,-5,-5,0,-4,7
1899,2,59,1,3,1,2,59,51,1,14,21,10,18,9,45,43,44,20,27,1,1,850,1,1,850,17000,1,1,850,16000,1,1,17000,1000,1,15000,1040,1
1900,7,57,5,3,2,7,57,51,1,29,34,14,40,21,65,62,60,92,92,2,1,1610,1,1,1800,13000,1,1,1890,19904,1,-5,-5,-5,-5,36000,1980,1
1901,4,59,1,3,1,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,1600,1,3,641,0,1,3,1076,0,1,1,0,800,1,23800,1098,2
1902,3,64,5,3,2,3,64,51,0,18,26,11,38,7,50,40,50,46,37,2,1,1000,1,1,1049,26000,1,1,1096,50000,1,1,24300,1119,1,27600,1309,1
