"R0000100","R0000300","R0000500","R0173600","R0214700","R0214800","R0410100","R0410300","R0614800","R0614900","R0615100","R0615200","R0615300","R0615400","R0615700","R0618011","R0618017","R0618100","R0618200","R0618300","R0810200","R3127500","R3127800","R3401000","R3523200","R3523500","R3559000","R3656400","R3728200","R3728500","R3897100","R4006900","R4182300","R4295100","R4416800","R4418000","R4982800","R5079800","R5081000"
10685,1,60,18,3,2,1,60,51,1,26,22,6,38,17,61,55,41,45,44,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10686,7,59,18,3,2,7,59,51,1,26,27,13,50,12,61,48,53,77,61,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10687,4,57,18,3,2,4,57,51,1,17,32,13,48,13,49,49,57,69,57,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10688,10,57,19,2,2,10,57,51,1,18,27,12,30,18,50,57,52,44,56,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10689,10,59,18,3,2,10,59,51,1,20,32,14,35,14,53,51,58,66,66,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10690,2,58,19,2,2,-5,-5,51,1,17,25,9,32,9,49,43,47,36,34,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10691,2,58,18,3,2,2,58,51,1,20,31,15,45,18,53,57,58,75,72,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10692,4,57,15,3,1,4,57,51,1,28,35,14,34,13,64,49,61,87,80,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10693,8,58,18,3,2,8,58,51,1,21,33,14,50,17,54,55,59,81,73,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10694,1,57,15,3,1,1,57,51,1,19,22,11,38,15,51,52,46,42,42,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10695,6,58,20,1,2,6,58,51,1,18,32,15,48,16,50,54,59,75,68,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10696,7,58,18,3,2,7,58,51,1,22,32,8,38,17,55,55,53,59,62,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10697,11,57,15,3,1,11,57,51,1,18,27,12,40,9,50,43,52,51,43,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
