Variable,onegrams,twograms,threegrams,wordcount,rspanabsolute,rspantotal,sixletters,auxverbs,presentverbs,pronouns,personalpronouns,articles,negation,certainty,punctuation,condition,whichtalk,relatedknowledge,year,GPA,concentration,SATreading,SATmath,SATwriting,SATcombined,laptopornotebook,betterlorn,objectiveZ,openZ,openandobjectiveZ,rawobjective,rawopen,openZ,condition,whichtalk,,,,
,0.7957,0.29189,0.08696,183,15,54,26.78,7.1,3.83,1.64,0.55,3.83,2.73,0,14.21,1,1,1,3,3,undeclared,710,720,710,2140,2,5,-0.55,0.11,-0.22,5,5,0.11,1,1,,,,
,0.68814,0.26871,0.09215,259,44,60,36.29,5.41,3.86,1.54,0.39,1.16,3.47,0.77,20.08,1,1,4,2,3.68,Ecology and Evolutionary Biology,720,800,790,2310,3,6,1.44,0.11,0.77,10,5,0.11,1,1,,,,
,0.75188,0.35849,0.13258,258,32,53,27.91,5.81,3.49,4.26,1.16,9.3,1.94,0,22.87,1,1,3,1,3.4,"English, Theatre and Performance Studies Track",790,560,800,2267,2,5,0.69,0.11,0.4,9,5,0.11,1,1,,,,
,0.62963,0.20896,0.04511,132,63,72,42.42,0.76,1.52,0,0,1.52,3.03,1.52,32.58,1,1,4,2,3.8,computer science,800,800,700,2300,3,5,0.32,0.6,0.46,9,6,0.6,1,1,,,,
,0.81148,0.31405,0.10833,126,48,64,24.6,6.35,9.52,2.38,2.38,0.79,2.38,0,26.19,1,2,1,4,,undecided,,,,2060,1,6,-1.77,-1.84,-1.81,3,1,-1.84,1,2,,,,
,0.78182,0.33333,0.11321,59,71,74,33.9,8.47,6.78,3.39,1.69,0,3.39,0,25.42,1,2,2,1,,ORFE,,,,,1,6,-0.88,-1.84,-1.36,6,1,-1.84,1,2,,,,
,0.88843,0.35685,0.15417,243,32,58,27.98,4.94,5.76,6.58,2.88,1.65,0.41,0.41,8.64,0,2,1,3,3.5,"Psychology, Neuroscience",,,,2170,0,4,-0.35,-0.86,-0.61,4,2,-0.86,0,2,3.870967742,4.502307692,0.267741935,-0.068947368
,0.70811,0.24457,0.08743,167,56,69,37.13,5.99,7.19,4.79,0.6,3.59,1.8,1.2,11.38,0,2,3,4,,Likely psychology,800,760,750,2310,2,4,-0.95,-1.35,-1.15,5,2,-1.35,0,2,,,,
,0.83529,0.24409,0.08696,255,53,68,27.84,8.63,8.63,5.1,1.18,5.1,2.75,0.39,14.51,0,2,3,3,3.3,Politics,800,690,790,2280,1,6,-1.17,-0.38,-0.78,2,3,-0.38,0,2,,,,
,0.63303,0.13889,0.01869,117,60,69,33.33,5.13,4.27,1.71,0,0,1.71,2.56,29.06,1,2,1,3,3.3,,800,780,790,2370,1,5,0.47,-0.38,0.05,6,3,-0.38,1,2,,,,
,0.73898,0.21429,0.04096,262,20,57,25.57,4.96,5.73,5.73,1.53,0.76,1.15,0.38,11.45,0,2,1,2,3.5,Molecular biology,740,740,700,2180,3,4,-0.2,0.6,0.2,6,4,0.6,0,2,,,,
,0.74016,0.20635,0.08,132,65,72,29.55,4.55,2.27,0,0,6.06,2.27,0,25.76,1,2,3,2,3.65,molecular biology,,800,,2330,2,7,-0.06,1.09,0.52,8,4,1.09,1,2,,,,
,0.7619,0.13462,0.00971,105,49,61,34.29,4.76,2.86,0,0,2.86,0.95,0.95,27.62,1,2,4,2,3.3,Music,760,770,780,2310,1,6,-0.73,1.57,0.42,8,5,1.57,1,2,,,,
,0.70085,0.19828,0.05217,118,52,63,38.14,3.39,2.54,2.54,0,0.85,5.08,0,50,1,2,4,1,3.57,Sociology,780,800,750,2330,2,6,0.62,1.57,1.09,8,5,1.57,1,2,,,,
